itemid,label,n_numeric_values,n_string_values,pct_numeric,n_hadm_no_value,string_values
50827,Ventilation Rate,0,59885,0.0,429891,/. | /0 . | /10. | /11. | /12. | /13. | /14. | /15. | /16. | /17. | /18. | /19. | /2 . | /20. | /21. | /22. | /23. | /24. | /25. | /26. | /27. | /28. | /29. | /30. | /31. | /32. | /33. | /34. | /35. | /36. | /37. | /38. | /39. | /4 . | /40. | /41. | /42. | /44. | /45. | /5 . | /50. | /6 . | /7 . | /8 . | /9 . | 0/10. | 0/11. | 0/12. | 0/13. | 0/14. | 0/15. | 0/16. | 0/17. | 0/18. | 0/19. | 0/20. | 0/21. | 0/22. | 0/23. | 0/24. | 0/25. | 0/26. | 0/28. | 0/30. | 0/32. | 0/8. | 0/9. | 10/. | 10/0. | 10/1. | 10/10. | 10/12. | 10/2. | 10/3. | 10/4. | 10/5. | 10/6. | 10/8. | 11/. | 12/. | 12/0. | 12/1. | 12/10. | 12/12. | 12/13. | 12/14. | 12/16. | 12/17. | 12/18. | 12/2. | 12/20. | 12/3. | 12/4. | 12/5. | 12/6. | 12/7. | 12/8. | 13/. | 14/. | 14/0. | 14/1. | 14/10. | 14/12. | 14/14. | 14/15. | 14/16. | 14/17. | 14/18. | 14/19. | 14/2. | 14/20. | 14/22. | 14/24. | 14/3. | 14/4. | 14/5. | 14/6. | 14/7. | 14/8. | 14/9. | 15/. | 15/0. | 15/1. | 15/10. | 15/15. | 15/2. | 15/3. | 15/4. | 15/5. | 15/6. | 15/7. | 15/8. | 16/. | 16/0. | 16/1. | 16/10. | 16/11. | 16/12. | 16/14. | 16/15. | 16/16. | 16/17. | 16/18. | 16/19. | 16/2. | 16/20. | 16/22. | 16/25. | 16/3. | 16/4. | 16/5. | 16/6. | 16/7. | 16/8. | 16/9. | 17/. | 17/0. | 17/17. | 18/. | 18/0. | 18/1. | 18/10. | 18/12. | 18/18. | 18/19. | 18/2. | 18/20. | 18/21. | 18/22. | 18/23. | 18/24. | 18/3. | 18/4. | 18/5. | 18/6. | 18/7. | 18/8. | 18/9. | 19/. | 19/0. | 2/ . | 20/. | 20/0. | 20/1. | 20/10. | 20/11. | 20/12. | 20/15. | 20/16. | 20/2. | 20/20. | 20/21. | 20/22. | 20/23. | 20/24. | 20/28. | 20/3. | 20/4. | 20/5. | 20/6. | 20/7. | 20/8. | 20/9. | 21/. | 21/0. | 22/. | 22/0. | 22/1. | 22/10. | 22/2. | 22/22. | 22/23. | 22/24. | 22/25. | 22/26. | 22/3. | 22/4. | 22/5. | 22/6. | 22/7. | 22/8. | 23/. | 23/0. | 24/. | 24/0. | 24/1. | 24/10. | 24/2. | 24/24. | 24/26. | 24/27. | 24/28. | 24/3. | 24/30. | 24/4. | 24/5. | 24/6. | 24/7. | 24/8. | 25/. | 25/0. | 25/1. | 25/2. | 25/25. | 25/3. | 25/4. | 25/5. | 26/. | 26/0. | 26/1. | 26/2. | 26/26. | 26/3. | 26/4. | 26/5. | 26/6. | 27/. | 27/0. | 28/. | 28/0. | 28/1. | 28/2. | 28/28. | 28/3. | 28/4. | 28/5. | 28/6. | 29/. | 30/. | 30/0. | 30/1. | 30/2. | 30/3. | 30/30. | 30/32. | 30/4. | 30/5. | 30/6. | 31/. | 32/. | 32/0. | 32/1. | 32/2. | 32/32. | 32/4. | 33/. | 33/0. | 34/. | 34/0. | 34/1. | 34/2. | 34/34. | 35/. | 35/0. | 36/. | 36/0. | 38/. | 39/. | 40/. | 5/ . | 6/ . | 7/ . | 8/ . | 8/0. | 9/ . | ___
50828,Ventilator,0,70053,0.0,419278,CONTROLLED. | IMV. | SPONTANEOUS.
50831,pH,551,4826,10.2,443386,___
50835,"Albumin, Ascites",2940,2167,57.6,444193,___
50836,"Amylase, Ascites",2422,1664,59.3,445080,___
50837,"Bicarbonate, Ascites",24,10,70.6,447664,___
50838,"Bilirubin, Total, Ascites",1586,928,63.1,445764,___
50839,"Chloride, Ascites",28,10,73.7,447660,___
50840,"Cholesterol, Ascites",35,14,71.4,447641,___
50841,"Creatinine, Ascites",1680,926,64.5,445622,___
50842,"Glucose, Ascites",2833,1801,61.1,444285,___
50843,"Lactate Dehydrogenase, Ascites",2784,1335,67.6,444570,___
50844,"Lipase, Ascites",41,82,33.3,447606,___
50845,"Miscellaneous, Ascites",0,4,0.0,447685,___
50846,"Osmolality, Ascites",5,1,83.3,447685,___
50847,"Potassium, Ascites",31,10,75.6,447657,___
50848,"Sodium, Ascites",41,10,80.4,447651,___
50849,"Total Protein, Ascites",4745,2459,65.9,442712,___
50850,"Triglycerides, Ascites",313,149,67.7,447337,___
50851,"Urea Nitrogen, Ascites",21,8,72.4,447662,___
50852,% Hemoglobin A1c,0,45308,0.0,403843,___
50853,25-OH Vitamin D,6092,4224,59.1,438026,___
50856,Acetaminophen,1460,173,89.4,446385,NEG | ___
50857,Acetone,0,48,0.0,447642,NEG | POS
50861,Alanine Aminotransferase (ALT),767685,14407,98.2,239476,- | ___
50862,Albumin,411585,311,99.9,295871,___
50863,Alkaline Phosphatase,761016,4332,99.4,245374,- | ___
50864,Alpha-Fetoprotein,0,3521,0.0,444384,___
50865,Amikacin,0,544,0.0,447540,___
50866,Ammonia,4997,111,97.8,443921,___
50867,Amylase,49598,129,99.7,422265,___
50868,Anion Gap,2196901,344351,86.4,40829,___
50869,Anti-DGP (IgA/IgG),0,156,0.0,447540,___
50870,"Anti-Gliadin Antibody, IgA",0,1,0.0,447688,___
50871,Anti-Mitochondrial Antibody,0,3160,0.0,444592,___
50872,Anti-Neutrophil Cytoplasmic Antibody,0,4437,0.0,443376,___
50873,Anti-Nuclear Antibody,0,10755,0.0,437318,___
50874,"Anti-Nuclear Antibody, Titer",0,0,,447689,
50875,Anti-Parietal Cell Antibody,0,0,,447689,
50876,Anti-Smooth Muscle Antibody,0,0,,447689,
50877,Anti-Thyroglobulin Antibodies,51,21,70.8,447618,___
50878,Asparate Aminotransferase (AST),769169,20335,97.4,238727,- | ___
50879,Barbiturate Screen,0,11539,0.0,436461,NEG | POS
50880,Benzodiazepine Screen,0,11569,0.0,436448,NEG | POS
50881,Beta-2 Microglobulin,1034,389,72.7,446387,___
50882,Bicarbonate,2507501,38946,98.5,40794,___
50883,"Bilirubin, Direct",32424,3852,89.4,430198,___
50884,"Bilirubin, Indirect",34466,1,100.0,430244,___
50885,"Bilirubin, Total",760165,2057,99.7,246237,___
50887,Blue Top Hold,0,54286,0.0,398700,DONE.  DISCARD GREATER THAN 24 HRS OLD. | HOLD.  DISCARD GREATER THAN 24 HRS OLD. | ___
50888,Blue Top Hold Frozen,0,14,0.0,447678,HOLD.
50889,C-Reactive Protein,39278,19233,67.1,414787,___
50890,C3,4103,4,99.9,443921,___
50891,C4,4215,8,99.8,443787,___
50892,CA-125,0,1227,0.0,446512,___
50893,"Calcium, Total",2210092,4866,99.8,75596,___
50894,Calculated Free Testosterone,206,0,100.0,447495,
50895,Calculated TBG,981,2,99.8,446978,___
50896,Calculated Thyroxine (T4) Index,976,0,100.0,446981,
50898,Cancer Antigen 27.29,0,300,0.0,447398,___
50899,Carbamazepine,864,39,95.7,447107,___
50900,Carcinoembyronic Antigen (CEA),0,4512,0.0,443321,___
50901,Centromere,0,0,,447689,
50902,Chloride,2580005,21006,99.2,38363,___
50903,Cholesterol Ratio (Total/HDL),31431,1,100.0,417515,___
50904,"Cholesterol, HDL",31587,153,99.5,417281,___
50905,"Cholesterol, LDL, Calculated",14501,15693,48.0,418567,___
50906,"Cholesterol, LDL, Measured",2398,236,91.0,445166,___
50907,"Cholesterol, Total",32857,362,98.9,416198,___
50908,CK-MB Index,23235,0,100.0,436925,
50909,Cortisol,0,20836,0.0,434676,___
50910,Creatine Kinase (CK),44539,143435,23.7,358228,___
50911,"Creatine Kinase, MB Isoenzyme",167758,138,99.9,368345,___
50912,Creatinine,2559540,26289,99.0,31856,___
50913,Cryoglobulin,0,0,,447689,
50914,Cyclosporin,1360,11263,10.8,445906,___
50915,D-Dimer,1213,3424,26.2,443795,___
50916,DHEA-Sulfate,113,0,100.0,447588,
50917,Digoxin,8428,358,95.9,442895,___
50918,Double Stranded DNA,0,1,0.0,447688,NEG
50919,EDTA Hold,0,0,,447689,
50920,Estimated GFR (MDRD equation),0,0,,447689,
50921,Estradiol,0,74,0.0,447617,___
50922,Ethanol,0,3018,0.0,444718,NEG | ___
50924,Ferritin,59849,216,99.6,400915,___
50925,Folate,15413,101,99.3,432520,___
50926,Follicle Stimulating Hormone,0,452,0.0,447256,___
50927,Gamma Glutamyltransferase,5650,179,96.9,442596,___
50929,Gentamicin,1,2928,0.0,446646,___
50930,Globulin,13407,0,100.0,439963,
50931,Glucose,259364,2257990,10.3,41437,___
50932,Gray Top Hold (plasma),0,366,0.0,447336,HOLD.  DISCARD AFTER THREE DAYS . | ___
50933,Green Top Hold (plasma),0,55820,0.0,397879,DONE.  DISCARD GREATER THAN 4 HOURS OLD. | HOLD.  DISCARD GREATER THAN 4 HOURS OLD. | ___
50934,H,1525091,11,100.0,264092,___
50935,Haptoglobin,31388,468,98.5,424016,___
50937,Hepatitis A Virus Antibody,0,7190,0.0,440639,___
50938,Hepatitis A Virus IgM Antibody,0,4464,0.0,443314,___
50939,"Hepatitis B Core Antibody, IgM",0,2900,0.0,444850,___
50940,Hepatitis B Surface Antibody,2,2,50.0,447685,NEG | POS
50941,Hepatitis B Surface Antigen,0,8,0.0,447681,NEG | POS
50942,Hepatitis B Virus Core Antibody,1,21,4.5,447667,NEG | POS | POSITIVE
50943,Hepatitis C Virus Antibody,0,4,0.0,447685,NEG | POS
50945,Homocysteine,236,262,47.4,447204,___
50946,Human Chorionic Gonadotropin,0,855,0.0,447074,___
50947,I,1525076,5,100.0,264092,___
50948,Immunofixation,0,0,,447689,
50949,Immunoglobulin A,9825,29,99.7,438839,___
50950,Immunoglobulin G,10910,11,99.9,438158,___
50951,Immunoglobulin M,8520,40,99.5,439978,___
50952,Iron,49745,496,99.0,402681,- | ___
50953,"Iron Binding Capacity, Total",47491,0,100.0,404312,
50954,Lactate Dehydrogenase (LD),401265,22152,94.8,321134,___
50955,Light Green Top Hold,0,39158,0.0,410157,___
50956,Lipase,92295,1147,98.8,389628,___
50957,Lithium,2695,155,94.6,446201,___
50958,Luteinizing Hormone,0,339,0.0,447366,___
50960,Magnesium,2337336,17280,99.3,68572,___
50961,Methotrexate,2,7088,0.0,445952,___
50962,N-Acetylprocainamide (NAPA),8,0,100.0,447686,
50963,NTproBNP,1,28033,0.0,423226,___
50964,"Osmolality, Measured",39859,4149,90.6,432672,___
50965,Parathyroid Hormone,7978,289,96.5,440799,___
50966,Phenobarbital,2085,402,83.8,447088,___
50967,Phenytoin,18534,401,97.9,443364,___
50968,"Phenytoin, Free",681,5,99.3,447338,___
50969,"Phenytoin, Percent Free",686,0,100.0,447338,
50970,Phosphate,2203314,16639,99.3,78114,___
50971,Potassium,2347355,299389,88.7,36156,___
50972,Procainamide,7,1,87.5,447686,___
50973,Prolactin,0,1223,0.0,446618,___
50974,Prostate Specific Antigen,6,2282,0.3,445509,___
50975,Protein Electrophoresis,0,0,,447689,
50976,"Protein, Total",24868,235,99.1,430251,___
50978,Rapamycin,2279,1821,55.6,446496,___
50979,Red Top Hold,0,0,,447689,
50980,Rheumatoid Factor,0,2219,0.0,445518,___
50981,Salicylate,298,135,68.8,447526,NEG | ___
50982,Sex Hormone Binding Globulin,252,0,100.0,447453,
50983,Sodium,2257437,368116,86.0,37894,___
50986,tacroFK,11,63759,0.0,437508,___
50988,Testosterone,421,1,99.8,447315,___
50989,"Testosterone, Free",31,0,100.0,447659,
50990,Theophylline,33,3,91.7,447655,___
50991,Thyroglobulin,0,253,0.0,447440,___
50992,Thyroid Peroxidase Antibodies,324,27,92.3,447343,___
50993,Thyroid Stimulating Hormone,66347,14,100.0,386661,___
50994,Thyroxine (T4),7667,349,95.6,441060,___
50995,"Thyroxine (T4), Free",13784,1,100.0,435796,___
50996,"Tissue Transglutaminase Ab, IgA",0,2594,0.0,445152,___
50997,Tobramycin,1893,108,94.6,446887,___
50998,Transferrin,47650,26,99.9,404173,___
50999,Tricyclic Antidepressant Screen,0,11413,0.0,436579,A | NEG | POS
51000,Triglycerides,34155,24071,58.7,405804,___
51001,Triiodothyronine (T3),5585,2,100.0,443315,___
51003,Troponin T,3,136584,0.0,394994,___
51005,Uptake Ratio,985,0,100.0,446977,
51006,Urea Nitrogen,2562618,4075,99.8,35821,. | ___
51007,Uric Acid,96645,928,99.0,427599,___
51008,Valproic Acid,7901,181,97.8,444632,___
51009,Vancomycin,98038,14496,87.1,406202,A | ___
51010,Vitamin B12,30054,7,100.0,418578,___
51019,"Albumin, Joint Fluid",4,0,100.0,447685,
51020,"Amylase, Joint Fluid",3,3,50.0,447684,___
51021,"Creatinine, Joint Fluid",1,0,100.0,447688,
51022,"Glucose, Joint Fluid",43,4,91.5,447644,___
51023,"LD, Joint Fluid",16,4,80.0,447670,___
51024,"Total Protein, Joint Fluid",40,0,100.0,447651,
51025,"Albumin, Body Fluid",389,214,64.5,447093,___
51026,"Amylase, Body Fluid",795,275,74.3,446865,___
51027,"Bicarbonate, Other Fluid",21,11,65.6,447668,___
51028,"Bilirubin, Total, Body Fluid",300,62,82.9,447383,___
51029,"Calcium, Body Fluid",8,1,88.9,447682,___
51030,"Chloride, Body Fluid",28,3,90.3,447663,___
51031,"Cholesterol, Body Fluid",4,5,44.4,447680,___
51032,"Creatinine, Body Fluid",330,88,78.9,447363,___
51033,FetalFN,0,5,0.0,447684,NEG
51034,"Glucose, Body Fluid",468,226,67.4,447013,___
51035,"LD, Body Fluid",380,256,59.7,447068,___
51036,"Lipase, Body Fluid",22,31,41.5,447646,___
51037,"Magnesium, Body Fluid",6,1,85.7,447684,___
51038,"Miscellaneous, Body Fluid",0,4,0.0,447685,___
51039,"Osmolality, Body Fluid",9,0,100.0,447680,
51040,"Phosphate, Body Fluid",7,1,87.5,447683,___
51041,"Potassium, Body Fluid",30,5,85.7,447658,___
51042,"Sodium, Body Fluid",36,3,92.3,447656,___
51043,"Total Protein, Body Fluid",467,223,67.7,447012,___
51044,Triglycer,106,27,79.7,447584,___
51045,"Urea Nitrogen, Body Fluid",52,0,100.0,447648,
51046,"Albumin, Pleural",2910,1510,65.8,444112,___
51047,"Amylase, Pleural",1411,821,63.2,445942,___
51048,"Bicarbonate, Pleural",2,0,100.0,447687,
51049,"Bilirubin, Total, Pleural",138,46,75.0,447541,___
51050,"Chloride, Pleural",1,0,100.0,447688,
51051,"Cholesterol, Pleural",2947,1856,61.4,443886,___
51052,"Creatinine, Pleural",955,535,64.1,446403,___
51053,"Glucose, Pleural",4751,2144,68.9,442310,___
51054,"Lactate Dehydrogenase, Pleural",4952,2440,67.0,442008,___
51055,"Lipase, Pleural",6,10,37.5,447674,___
51056,"Miscellaneous, Pleural",0,7,0.0,447683,___
51057,"Potassium, Pleural",4,0,100.0,447685,
51058,"Sodium, Pleural",6,0,100.0,447684,
51059,"Total Protein, Pleural",5144,2218,69.9,442013,___
51060,"Triglycerides, Pleural",1163,506,69.7,446309,___
51061,"Bicarbonate, Stool",28,1,96.6,447665,___
51062,"Chloride, Stool",81,0,100.0,447612,
51063,"Osmolality, Stool",213,2,99.1,447487,___
51064,"Potassium, Stool",196,3,98.5,447506,___
51065,"Sodium, Stool",205,7,96.7,447495,___
51066,24 hr Calcium,5,157,3.1,447535,___
51067,24 hr Creatinine,127,2624,4.6,445223,___
51068,24 hr Protein,1508,0,100.0,446247,
51069,"Albumin, Urine",2177,140,94.0,445550,___
51070,"Albumin/Creatinine, Urine",2449,0,100.0,445420,
51071,"Amphetamine Screen, Urine",0,11956,0.0,436062,NEG | POS
51072,"Amylase, Urine",56,19,74.7,447629,___
51073,"Amylase/Creatinine Ratio, Urine",74,0,100.0,447630,
51074,"Barbiturate Screen, Urine",0,11932,0.0,436080,NEG | POS
51075,"Benzodiazepine Screen, Urine",0,11928,0.0,436102,NEG | POS
51076,"Bicarbonate, Urine",707,29,96.1,447028,___
51077,"Calcium, Urine",816,1550,34.5,445575,___
51078,"Chloride, Urine",32471,9,100.0,424000,___
51079,"Cocaine, Urine",0,12113,0.0,435923,NEG | POS
51080,Creatinine Clearance,169,154,52.3,447373,___
51081,"Creatinine, Serum",315,9,97.2,447372,___
51082,"Creatinine, Urine",72532,68,99.9,396634,___
51083,"Ethanol, Urine",3,0,100.0,447686,
51084,"Glucose, Urine",99,13,88.4,447588,___
51085,"HCG, Urine, Qualitative",0,651,0.0,447039,NEG | POS | ___
51086,"Immunofixation, Urine",0,0,,447689,
51087,Length of Urine Collection,3680,0,100.0,444584,
51088,"Magnesium, Urine",1684,15,99.1,446170,___
51089,Marijuana,0,27,0.0,447662,NEG | POS
51090,"Methadone, Urine",0,11871,0.0,436138,NEG | POS
51091,"Myoglobin, Urine",0,0,,447689,
51092,"Opiate Screen, Urine",0,11930,0.0,436094,NEG | POS
51093,"Osmolality, Urine",55630,258,99.5,411856,___
51094,pH,3626,0,100.0,444618,
51095,"Phosphate, Urine",0,2797,0.0,445187,___
51096,Porphobilinogen Screen,0,324,0.0,447392,___
51097,"Potassium, Urine",38639,8,100.0,420373,___
51098,"Prot. Electrophoresis, Urine",0,0,,447689,
51099,Protein/Creatinine Ratio,15185,0,100.0,435095,
51100,"Sodium, Urine",59070,16,100.0,406528,___
51101,Total Collection Time,323,1,99.7,447372,___
51102,"Total Protein, Urine",17416,655,96.4,432578,___
51103,Uhold,0,33864,0.0,416689,DONE. | HOLD. | ___
51104,"Urea Nitrogen, Urine",38408,81,99.8,417959,___
51105,"Uric Acid, Urine",0,1915,0.0,445953,___
51106,Urine Creatinine,323,1,99.7,447372,___
51107,"Urine tube, held",0,29849,0.0,420072,HOLD.  SPECIMEN TO BE HELD 48 HOURS AND DISCARDED. | ___
51108,Urine Volume,3674,3,99.9,444583,___
51109,"Urine Volume, Total",324,0,100.0,447372,
51110,Atypical Lymphocytes,325,53,86.0,447342,___
51111,Bands,242,6,97.6,447460,___
51112,Basophils,462,8,98.3,447265,___
51113,Blasts,5,0,100.0,447684,
51114,Eosinophils,1579,7,99.6,446381,___
51115,"Hematocrit, Ascites",0,281,0.0,447471,O | ___
51116,Lymphocytes,10360,314,97.1,441130,___
51117,Macrophage,7835,1215,86.6,441904,___
51118,Mesothelial Cell,5721,1431,80.0,442852,___
51119,Metamyelocytes,36,1,97.3,447655,___
51120,Monocytes,10513,161,98.5,441130,___
51121,Myelocytes,25,0,100.0,447664,
51122,Nucleated RBC,156,2,98.7,447543,___
51123,Other,22,3097,0.7,445207,___
51124,Plasma,717,162,81.6,446960,___
51125,Polys,9892,782,92.7,441130,___
51126,Promyelocytes,19,6,76.0,447664,___
51127,"RBC, Ascites",10166,317,97.0,441209,___
51129,Young,0,2,0.0,447687,___
51130,Absolute CD3 Count,2492,8,99.7,445403,___
51131,Absolute CD4 Count,2492,8,99.7,445403,___
51132,Absolute CD8 Count,2492,8,99.7,445403,___
51133,Absolute Lymphocyte Count,265095,22,100.0,347580,___
51134,Acanthocytes,1,0,100.0,447688,
51135,ADP,0,0,,447689,
51137,Anisocytosis,6,0,100.0,447683,
51138,Anticardiolipin Antibody IgG,129,828,13.5,446772,___
51139,Anticardiolipin Antibody IgM,129,826,13.5,446774,___
51140,Antithrombin,548,578,48.7,447021,___
51142,Arachadonic Acid,0,0,,447689,
51143,Atypical Lymphocytes,119230,1137,99.1,414820,- | ___
51144,Bands,138136,401,99.7,409944,- | ___
51145,Basophilic Stippling,4,0,100.0,447685,
51146,Basophils,457592,240,99.9,263986,- | ___
51147,Bite Cells,0,0,,447689,
51148,Blasts,17438,4011,81.3,445065,___
51149,Bleeding Time,15,0,100.0,447674,
51150,Blood Parasite Smear,5,3851,0.1,445244,"0.1% PARASITEMIA | 0.2 % PARASITEMIA | 0.2% PARASITEMIA | 0.7% PARASITEMIA | 0.8% PARASITEMIA | 0.9% PARASITEMIA | 4% PARASITIMIA | 5.1% PARASETEMIA | 7.4% PARASITEMIA | MEGATIVE | NEG | NEG FOR INTRA AND EXTRACELLULAR FORMS | NEG FOR THE PRESENCE OF MICROFILARIAE | NEG FOR THICK SMEAR | NEG ON THIN SMEAR | NEGAITIVE | NEGARIVE | NEGATATIVE | NEGATIV | NEGATIVAE | NEGATIVE | NEGATIVE FOE INTRA AND EXTRACELLULAR FORMS | NEGATIVE FOR INTRA AND EXTRA CELLULAR PARASITES | NEGATIVE FOR INTRA AND EXTRACELLULAR FORMS | NEGATIVE FOR INTRA AND EXTRACELLULAR FORMS, THICK AND THIN SMEARS REVIEWED, IF HIGH CLINICAL SUSPICION OF MALARIA REPEAT SCREEN EVERY 12-24 HOURS FOR 3 CONSECUTIVE DAYS | NEGATIVE FOR INTRA AND EXTRACELLULARFORMS | NEGATIVE FOR INTRA NAD EXTRACELLUAR FORMS | NEGATIVE FOR INTRA OR EXTRACELLULAR FORMS | NEGATIVE FOR INTRA/EXTRA CELLULAR PARASITE | NEGATIVE FOR INTRA/EXTRA CELLULAR PARASITES | NEGATIVE FOR INTRACELLULAR AND EXTRACELLULAR FORMS | NEGATIVE FOR INTRACELLULAR AND EXTRACELLULAR PARASITES | NEGATIVE FOR THE PRRESENCE OF MICROFILARIAE | NEGATIVE FOR THICK AND THIN SMEAR | NEGATIVE FOR THICK SMEAR | NEGATIVE FOR THICK SMEAR REVIEW | NEGATIVE FOR THIN AND THICK | NEGATIVE FOR THIN AND THICK SMEAR | NEGATIVE FOR THIN AND THICK SMEARS | NEGATIVE FOR THIN SMEAR | NEGATIVE FOR TICK SMEAR | NEGATIVE FOT THICK SMEAR | NEGATIVE THICK AND THIN SMEAR | NEGATIVE THICK SMEAR | NEGATIVE THICK SMEAR REVIEW | NEGATIVE THICK SMEARS | NEGATIVE THIN AND THICK SMEAR | NEGATIVE THIN AND THICK SMEAR REVIEW | NEGATIVE THIN AND THICK SMEAR REVIEWED | NEGATIVE THIN AND THICK SMEAR REVIWED | NEGATIVE THIN AND THICK SMEARS | NEGATIVE THIN AND THICK SMEARS REVIEWED | NEGATIVE, THIN AND THICK SMEAR REVIEWED | NEGATIVE, THIN AND THICK SMEARS REVIEWED | NEGATIVIE | NEGATOVE FOR INTRA AND EXTRACELLULAR FORMS | NEGAVITE | NEGAYIVE | NEGOTIVE | NEGSTIVE | NEGTAIVE | NEGTIVE | NEGTIVE FOR INTRACELLULAR AND EXTRACELLULAR PARASITS | NEHATIVE | NRGATIVE | POS | POS. | POSITI?VE | POSITIVE | POSITIVE FOR ANAPLASMA | POSITVE | POSTITIVE | POSTIVE | POTIVE | THICK SMEAR NEGATIVE | THICK SMEAR REVIEW NEGATIVE | THICK SMEAR REVIEWED | THIN & THICK SMEARS REVIEWED | THIN AND THCIK SMEARS REVIEWED | THIN AND THICK SMEARS REVIEWED | UNABLE TO REPORT | ___"
51152,CD10,0,468,0.0,447237,D | DONE
51153,CD103,0,16,0.0,447673,D | DONE
51154,CD117,0,137,0.0,447555,D | DOE | DONE
51155,CD11c,0,128,0.0,447562,D | DONE
51156,CD13,0,159,0.0,447536,D | DONE
51157,CD138,0,10,0.0,447680,D | DONE
51158,CD14,0,133,0.0,447558,D | DONE
51159,CD15,0,135,0.0,447557,D | DONE
51161,CD16,0,28,0.0,447661,D | DONE
51162,CD16/56 Absolute Count,67,0,100.0,447626,
51163,CD16/56%,67,0,100.0,447626,
51164,CD19,2,495,0.4,447211,D | DONE | ___
51165,CD19 %,164,0,100.0,447573,
51166,CD19 Absolute Count,164,0,100.0,447573,
51167,CD2,0,352,0.0,447345,D | DONE
51168,CD20,0,469,0.0,447232,D | DONE | ___
51169,CD20 %,164,0,100.0,447573,
51170,CD20 Absolute Count,164,0,100.0,447573,
51171,CD22,0,19,0.0,447670,D | DONE
51172,CD23,0,337,0.0,447358,D | DONE
51173,CD25,0,24,0.0,447665,D | DONE
51174,CD3 %,202,2,99.0,447522,___
51175,CD3 Absolute Count,202,2,99.0,447522,___
51176,"CD3 Cells, Percent",2492,474,84.0,444982,<1 | D | DOE | DONE | ___
51177,CD33,0,133,0.0,447558,D | DONE
51178,CD34,2,171,1.2,447526,D | DONE | NOT DONE | ___
51179,CD38,0,23,0.0,447667,D | DONE
51180,"CD4 Cells, Percent",2488,302,89.2,445137,55:CORRECTED RESULTS:PREVIOUSLY REPORTED AS 555:NOTIFY ___ | <1 | D | DONE | ___
51181,CD4/CD8 Ratio,2471,29,98.8,445403,___
51182,CD41,0,107,0.0,447583,D | DONE
51183,CD45,0,528,0.0,447187,D | DOME | DONE
51184,CD5,0,460,0.0,447242,D | DONE | ONE
51185,CD5 %,157,4,97.5,447560,___
51186,CD5 Absolute Count,159,2,98.8,447560,___
51187,CD55,0,79,0.0,447615,D | DONE
51188,CD56,0,155,0.0,447539,D | DONE | ___
51189,CD57,0,41,0.0,447649,D | DONE
51190,CD59,0,79,0.0,447615,D | DONE
51191,CD64,0,118,0.0,447573,D | DONE
51192,CD7,0,357,0.0,447340,D | DONE
51193,CD71,0,112,0.0,447578,D | DONE
51194,"CD8 Cells, Percent",2491,296,89.4,445140,<1 | D | DOME | DONE | DONE' | ___
51195,Collagen,0,0,,447689,
51196,D-Dimer,623,8791,6.6,443336,___
51197,Elliptocytes,1,0,100.0,447688,
51198,Envelope Cells,0,0,,447689,
51199,Eosinophil Count,125,2,98.4,447573,___
51200,Eosinophils,457536,296,99.9,263986,- | ___
51201,Epinepherine,0,0,,447689,
51202,Factor II,37,128,22.4,447538,___
51203,Factor IX,107,102,51.2,447550,___
51204,Factor V,148,120,55.2,447453,NOT DONE | ___
51205,Factor VII,83,342,19.5,447341,UNABLE TO REPORT | ___
51206,Factor VIII,1040,410,71.7,446758,<1 | CANCELLED | UNABLE TO REPORT | ___
51207,Factor VIII Inhibitor,13,28,31.7,447672,CANCELLED | FACTOR VIII INHIBITOR IN BETHESDA UNITS/ML=6.80 | NEG | POS | UNABLE TO REPORT | ___
51208,Factor X,68,141,32.5,447497,___
51209,Factor XI,36,136,20.9,447589,___
51210,Factor XII,8,20,28.6,447665,___
