itemid,label,reason,n_numeric_values,n_unique_numeric_values,n_ranges,range_coverage_pct
50991,Thyroglobulin,too_few_values,0.0,0.0,1.0,100.0
50996,"Tissue Transglutaminase Ab, IgA",too_few_values,0.0,0.0,1.0,100.0
50999,Tricyclic Antidepressant Screen,too_few_values,0.0,0.0,0.0,0.0
51002,Troponin I,never_measured,,,,
51003,Troponin T,too_few_values,3.0,3.0,1.0,100.0
51004,"UE3, Maternal Screen",never_measured,,,,
51019,"Albumin, Joint Fluid",too_few_values,4.0,4.0,0.0,0.0
51020,"Amylase, Joint Fluid",too_few_values,3.0,2.0,0.0,0.0
51021,"Creatinine, Joint Fluid",too_few_values,1.0,1.0,0.0,0.0
51022,"Glucose, Joint Fluid",no_range,43.0,41.0,0.0,0.0
51023,"LD, Joint Fluid",no_range,16.0,16.0,0.0,0.0
51024,"Total Protein, Joint Fluid",no_range,40.0,31.0,0.0,0.0
51025,"Albumin, Body Fluid",no_range,389.0,37.0,0.0,0.0
51026,"Amylase, Body Fluid",no_range,795.0,288.0,0.0,0.0
51027,"Bicarbonate, Other Fluid",no_range,21.0,17.0,0.0,0.0
51028,"Bilirubin, Total, Body Fluid",no_range,300.0,122.0,0.0,0.0
51029,"Calcium, Body Fluid",too_few_values,8.0,8.0,0.0,0.0
51030,"Chloride, Body Fluid",no_range,28.0,27.0,0.0,0.0
51031,"Cholesterol, Body Fluid",too_few_values,4.0,4.0,0.0,0.0
51032,"Creatinine, Body Fluid",no_range,330.0,98.0,0.0,0.0
51033,FetalFN,too_few_values,0.0,0.0,0.0,0.0
51034,"Glucose, Body Fluid",no_range,468.0,180.0,0.0,0.0
51035,"LD, Body Fluid",no_range,380.0,336.0,0.0,0.0
51036,"Lipase, Body Fluid",no_range,22.0,21.0,0.0,0.0
51037,"Magnesium, Body Fluid",too_few_values,6.0,6.0,0.0,0.0
51038,"Miscellaneous, Body Fluid",too_few_values,0.0,0.0,0.0,0.0
51039,"Osmolality, Body Fluid",too_few_values,9.0,9.0,0.0,0.0
51040,"Phosphate, Body Fluid",too_few_values,7.0,7.0,0.0,0.0
51041,"Potassium, Body Fluid",no_range,30.0,26.0,0.0,0.0
51042,"Sodium, Body Fluid",no_range,36.0,27.0,0.0,0.0
51043,"Total Protein, Body Fluid",no_range,467.0,74.0,0.0,0.0
51044,Triglycer,no_range,106.0,92.0,0.0,0.0
51045,"Urea Nitrogen, Body Fluid",no_range,52.0,41.0,0.0,0.0
51046,"Albumin, Pleural",no_range,2910.0,48.0,0.0,0.0
51047,"Amylase, Pleural",no_range,1411.0,183.0,0.0,0.0
51048,"Bicarbonate, Pleural",too_few_values,2.0,2.0,0.0,0.0
51049,"Bilirubin, Total, Pleural",no_range,138.0,62.0,0.0,0.0
51050,"Chloride, Pleural",too_few_values,1.0,1.0,0.0,0.0
51051,"Cholesterol, Pleural",no_range,2947.0,163.0,0.0,0.0
51052,"Creatinine, Pleural",no_range,955.0,69.0,0.0,0.0
51053,"Glucose, Pleural",no_range,4751.0,318.0,0.0,0.0
51054,"Lactate Dehydrogenase, Pleural",no_range,4952.0,1087.0,0.0,0.0
51055,"Lipase, Pleural",too_few_values,6.0,6.0,0.0,0.0
51056,"Miscellaneous, Pleural",too_few_values,0.0,0.0,0.0,0.0
51057,"Potassium, Pleural",too_few_values,4.0,2.0,0.0,0.0
51058,"Sodium, Pleural",too_few_values,6.0,5.0,0.0,0.0
51059,"Total Protein, Pleural",no_range,5144.0,75.0,0.0,0.0
51060,"Triglycerides, Pleural",no_range,1163.0,235.0,0.0,0.0
51061,"Bicarbonate, Stool",no_range,28.0,19.0,0.0,0.0
51062,"Chloride, Stool",no_range,81.0,62.0,0.0,0.0
51063,"Osmolality, Stool",no_range,213.0,126.0,0.0,0.0
51064,"Potassium, Stool",no_range,196.0,126.0,0.0,0.0
51065,"Sodium, Stool",no_range,205.0,104.0,0.0,0.0
51066,24 hr Calcium,too_few_values,5.0,5.0,0.0,0.0
51067,24 hr Creatinine,no_range,127.0,116.0,0.0,0.0
51068,24 hr Protein,no_range,1508.0,793.0,0.0,0.0
51069,"Albumin, Urine",no_range,2177.0,827.0,0.0,0.0
51071,"Amphetamine Screen, Urine",too_few_values,0.0,0.0,0.0,0.0
51072,"Amylase, Urine",no_range,56.0,54.0,0.0,0.0
51073,"Amylase/Creatinine Ratio, Urine",no_range,74.0,60.0,0.0,0.0
51074,"Barbiturate Screen, Urine",too_few_values,0.0,0.0,0.0,0.0
51075,"Benzodiazepine Screen, Urine",too_few_values,0.0,0.0,0.0,0.0
51076,"Bicarbonate, Urine",no_range,707.0,62.0,0.0,0.0
51077,"Calcium, Urine",no_range,816.0,197.0,0.0,0.0
51078,"Chloride, Urine",no_range,32471.0,246.0,0.0,0.0
51079,"Cocaine, Urine",too_few_values,0.0,0.0,0.0,0.0
51081,"Creatinine, Serum",no_range,315.0,42.0,0.0,0.0
51082,"Creatinine, Urine",no_range,72532.0,605.0,0.0,0.0
51083,"Ethanol, Urine",too_few_values,3.0,3.0,0.0,0.0
51084,"Glucose, Urine",no_range,99.0,50.0,0.0,0.0
51085,"HCG, Urine, Qualitative",too_few_values,0.0,0.0,0.0,0.0
51086,"Immunofixation, Urine",too_few_values,0.0,0.0,0.0,
51087,Length of Urine Collection,no_range,3680.0,14.0,0.0,0.0
51088,"Magnesium, Urine",no_range,1684.0,273.0,0.0,0.0
51089,Marijuana,too_few_values,0.0,0.0,0.0,0.0
51090,"Methadone, Urine",too_few_values,0.0,0.0,0.0,0.0
51091,"Myoglobin, Urine",too_few_values,0.0,0.0,0.0,
51092,"Opiate Screen, Urine",too_few_values,0.0,0.0,0.0,0.0
51093,"Osmolality, Urine",no_range,55630.0,1081.0,0.0,0.0
51094,pH,no_range,3626.0,12.0,0.0,0.0
51095,"Phosphate, Urine",too_few_values,0.0,0.0,0.0,0.0
51096,Porphobilinogen Screen,too_few_values,0.0,0.0,0.0,0.0
51097,"Potassium, Urine",no_range,38639.0,117.0,0.0,0.0
51098,"Prot. Electrophoresis, Urine",too_few_values,0.0,0.0,0.0,
51100,"Sodium, Urine",no_range,59070.0,251.0,0.0,0.0
51101,Total Collection Time,too_few_values,323.0,7.0,0.0,0.0
51102,"Total Protein, Urine",no_range,17416.0,604.0,0.0,0.0
51103,Uhold,too_few_values,0.0,0.0,0.0,0.0
51104,"Urea Nitrogen, Urine",no_range,38408.0,1629.0,0.0,0.0
51105,"Uric Acid, Urine",too_few_values,0.0,0.0,0.0,0.0
51106,Urine Creatinine,no_range,323.0,115.0,0.0,0.0
51107,"Urine tube, held",too_few_values,0.0,0.0,0.0,0.0
51108,Urine Volume,no_range,3674.0,361.0,0.0,0.0
51109,"Urine Volume, Total",no_range,324.0,112.0,0.0,0.0
51112,Basophils,too_few_values,462.0,9.0,1.0,100.0
51113,Blasts,too_few_values,5.0,2.0,1.0,100.0
51115,"Hematocrit, Ascites",too_few_values,0.0,0.0,1.0,100.0
51119,Metamyelocytes,too_few_values,36.0,5.0,1.0,100.0
51121,Myelocytes,too_few_values,25.0,5.0,1.0,100.0
51122,Nucleated RBC,too_few_values,156.0,9.0,1.0,100.0
51123,Other,too_few_values,22.0,2.0,1.0,100.0
51126,Promyelocytes,too_few_values,19.0,4.0,1.0,100.0
51129,Young,too_few_values,0.0,0.0,1.0,100.0
51134,Acanthocytes,too_few_values,1.0,1.0,0.0,0.0
51135,ADP,too_few_values,0.0,0.0,0.0,
51136,Alpha Antiplasmin,never_measured,,,,
51137,Anisocytosis,too_few_values,6.0,3.0,0.0,0.0
51141,APT Test,never_measured,,,,
51142,Arachadonic Acid,too_few_values,0.0,0.0,0.0,
51145,Basophilic Stippling,too_few_values,4.0,1.0,0.0,0.0
51147,Bite Cells,too_few_values,0.0,0.0,0.0,
51150,Blood Parasite Smear,too_few_values,5.0,5.0,0.0,0.0
51152,CD10,too_few_values,0.0,0.0,0.0,0.0
51153,CD103,too_few_values,0.0,0.0,0.0,0.0
51154,CD117,too_few_values,0.0,0.0,0.0,0.0
51155,CD11c,too_few_values,0.0,0.0,0.0,0.0
51156,CD13,too_few_values,0.0,0.0,0.0,0.0
51157,CD138,too_few_values,0.0,0.0,0.0,0.0
51158,CD14,too_few_values,0.0,0.0,0.0,0.0
51159,CD15,too_few_values,0.0,0.0,0.0,0.0
51161,CD16,too_few_values,0.0,0.0,0.0,0.0
51162,CD16/56 Absolute Count,no_range,67.0,66.0,0.0,0.0
51163,CD16/56%,no_range,67.0,66.0,0.0,0.0
51164,CD19,too_few_values,2.0,2.0,0.0,0.0
51165,CD19 %,no_range,164.0,150.0,0.0,0.0
51166,CD19 Absolute Count,no_range,164.0,156.0,0.0,0.0
51167,CD2,too_few_values,0.0,0.0,0.0,0.0
51168,CD20,too_few_values,0.0,0.0,0.0,0.0
51169,CD20 %,no_range,164.0,139.0,0.0,0.0
51170,CD20 Absolute Count,no_range,164.0,150.0,0.0,0.0
51171,CD22,too_few_values,0.0,0.0,0.0,0.0
51172,CD23,too_few_values,0.0,0.0,0.0,0.0
51173,CD25,too_few_values,0.0,0.0,0.0,0.0
51174,CD3 %,no_range,202.0,196.0,0.0,0.0
51175,CD3 Absolute Count,no_range,202.0,189.0,0.0,0.0
51176,"CD3 Cells, Percent",no_range,2492.0,100.0,0.0,0.0
51177,CD33,too_few_values,0.0,0.0,0.0,0.0
51178,CD34,too_few_values,2.0,2.0,0.0,0.0
51179,CD38,too_few_values,0.0,0.0,0.0,0.0
51180,"CD4 Cells, Percent",no_range,2488.0,86.0,0.0,0.0
51182,CD41,too_few_values,0.0,0.0,0.0,0.0
51183,CD45,too_few_values,0.0,0.0,0.0,0.0
51184,CD5,too_few_values,0.0,0.0,0.0,0.0
51185,CD5 %,no_range,157.0,151.0,0.0,0.0
51186,CD5 Absolute Count,no_range,159.0,149.0,0.0,0.0
51187,CD55,too_few_values,0.0,0.0,0.0,0.0
51188,CD56,too_few_values,0.0,0.0,0.0,0.0
51189,CD57,too_few_values,0.0,0.0,0.0,0.0
51190,CD59,too_few_values,0.0,0.0,0.0,0.0
51191,CD64,too_few_values,0.0,0.0,0.0,0.0
51192,CD7,too_few_values,0.0,0.0,0.0,0.0
51193,CD71,too_few_values,0.0,0.0,0.0,0.0
51194,"CD8 Cells, Percent",no_range,2491.0,93.0,0.0,0.0
51195,Collagen,too_few_values,0.0,0.0,0.0,
51197,Elliptocytes,too_few_values,1.0,1.0,0.0,0.0
51198,Envelope Cells,too_few_values,0.0,0.0,0.0,
51201,Epinepherine,too_few_values,0.0,0.0,0.0,
51210,Factor XII,too_few_values,8.0,8.0,3.0,100.0
51211,Factor XIII,too_few_values,0.0,0.0,0.0,
51212,Fetal Hemoglobin,no_range,37.0,20.0,0.0,0.0
51213,Fibrin Degradation Products,too_few_values,0.0,0.0,1.0,100.0
51215,FMC-7,too_few_values,0.0,0.0,0.0,0.0
51216,Fragmented Cells,too_few_values,0.0,0.0,0.0,
51217,Glyco A,too_few_values,0.0,0.0,0.0,0.0
51219,H/O Smear,too_few_values,0.0,0.0,0.0,0.0
51220,Heinz Body Prep,too_few_values,0.0,0.0,0.0,
51226,Hemogloblin A,too_few_values,8.0,3.0,1.0,15.15
51230,HLA-DR,too_few_values,0.0,0.0,0.0,0.0
51231,Howell-Jolly Bodies,too_few_values,2.0,1.0,0.0,0.0
51233,Hypochromia,too_few_values,23.0,2.0,0.0,0.0
51234,Immunophenotyping,too_few_values,0.0,0.0,0.0,0.0
51235,Inhibitor Screen,too_few_values,0.0,0.0,0.0,0.0
51236,Inpatient Hematology/Oncology Smear,too_few_values,0.0,0.0,0.0,0.0
51238,Kappa,too_few_values,0.0,0.0,0.0,0.0
51239,Lambda,too_few_values,0.0,0.0,0.0,0.0
51240,Large Platelets,too_few_values,2.0,1.0,0.0,0.0
51242,LUC,too_few_values,0.0,0.0,0.0,
51243,Lupus Anticoagulant,too_few_values,0.0,0.0,0.0,0.0
51246,Macrocytes,too_few_values,26.0,4.0,0.0,0.0
51247,MacroOvalocytes,too_few_values,0.0,0.0,0.0,
51252,Microcytes,too_few_values,24.0,3.0,0.0,0.0
51253,Monocyte Count,never_measured,,,,
51258,Osmotic Fragility,never_measured,,,,
51260,Ovalocytes,too_few_values,4.0,3.0,0.0,0.0
51261,Pappenheimer Bodies,too_few_values,0.0,0.0,0.0,
51262,Pencil Cells,too_few_values,0.0,0.0,0.0,
51264,Platelet Clumps,too_few_values,0.0,0.0,0.0,
51266,Platelet Smear,too_few_values,3.0,2.0,0.0,0.0
51267,Poikilocytosis,too_few_values,7.0,4.0,0.0,0.0
51268,Polychromasia,too_few_values,5.0,3.0,0.0,0.0
51278,Red Blood Cell Fragments,never_measured,,,,
51280,Reptilase Time,too_few_values,0.0,0.0,1.0,100.0
51281,Reptilase Time Control,too_few_values,2.0,1.0,0.0,0.0
51285,"Reticulocyte, Cellular Hemoglobin",never_measured,,,,
51286,Ristocetin,too_few_values,0.0,0.0,0.0,
51287,Schistocytes,too_few_values,3.0,3.0,0.0,0.0
51290,Sickle Cell Preparation,too_few_values,0.0,0.0,0.0,
51291,Sickle Cells,too_few_values,4.0,1.0,0.0,0.0
51292,Spherocytes,too_few_values,4.0,1.0,0.0,0.0
51293,Sugar Water Test,never_measured,,,,
51294,Target Cells,too_few_values,4.0,2.0,0.0,0.0
51295,TdT,too_few_values,0.0,0.0,0.0,0.0
51296,Teardrop Cells,too_few_values,5.0,2.0,0.0,0.0
51302,Young Cells,too_few_values,28.0,5.0,1.0,100.0
51303,CD10,never_measured,,,,
51304,CD103,too_few_values,0.0,0.0,0.0,0.0
51305,CD117,too_few_values,0.0,0.0,0.0,0.0
51306,CD11c,too_few_values,0.0,0.0,0.0,0.0
51307,CD13,too_few_values,0.0,0.0,0.0,0.0
51308,CD138,too_few_values,0.0,0.0,0.0,0.0
51309,CD14,too_few_values,0.0,0.0,0.0,0.0
51310,CD15,too_few_values,0.0,0.0,0.0,0.0
51311,CD16,too_few_values,0.0,0.0,0.0,0.0
51312,CD16/56,too_few_values,0.0,0.0,0.0,0.0
51313,CD19,too_few_values,0.0,0.0,0.0,0.0
51314,CD2,too_few_values,0.0,0.0,0.0,0.0
51315,CD20,too_few_values,0.0,0.0,0.0,0.0
51316,CD22,too_few_values,0.0,0.0,0.0,0.0
51317,CD23,too_few_values,0.0,0.0,0.0,0.0
51318,CD25,too_few_values,0.0,0.0,0.0,0.0
51319,CD3,too_few_values,0.0,0.0,0.0,0.0
51320,CD33,too_few_values,0.0,0.0,0.0,0.0
51321,CD34,too_few_values,0.0,0.0,0.0,0.0
51322,CD38,too_few_values,0.0,0.0,0.0,0.0
51323,CD4,too_few_values,1.0,1.0,0.0,0.0
51324,CD41,too_few_values,0.0,0.0,0.0,0.0
51325,CD45,too_few_values,0.0,0.0,0.0,0.0
51326,CD5,too_few_values,0.0,0.0,0.0,0.0
51327,CD55,never_measured,,,,
51328,CD56,too_few_values,0.0,0.0,0.0,0.0
51329,CD57,too_few_values,0.0,0.0,0.0,0.0
51330,CD59,never_measured,,,,
51331,CD64,too_few_values,0.0,0.0,0.0,0.0
51332,CD7,too_few_values,0.0,0.0,0.0,0.0
51333,CD71,too_few_values,0.0,0.0,0.0,0.0
51334,CD8,too_few_values,0.0,0.0,0.0,0.0
51335,FMC-7,too_few_values,0.0,0.0,0.0,0.0
51336,Glyco A,too_few_values,0.0,0.0,0.0,0.0
51337,HLA-DR,too_few_values,0.0,0.0,0.0,0.0
51338,Immunophenotyping,too_few_values,0.0,0.0,0.0,0.0
51339,Iron Stain,never_measured,,,,
51340,Kappa,too_few_values,0.0,0.0,0.0,0.0
51341,Lambda,too_few_values,0.0,0.0,0.0,0.0
51342,Wright Giemsa,too_few_values,0.0,0.0,0.0,
51365,Atypical Lymphocytes,too_few_values,31.0,5.0,1.0,100.0
51367,Basophils,too_few_values,45.0,4.0,1.0,100.0
51369,"Hematocrit, Joint Fluid",too_few_values,0.0,0.0,1.0,100.0
51370,"Joint Crystals, Birefringence",too_few_values,0.0,0.0,0.0,0.0
51371,"Joint Crystals, Comment",too_few_values,0.0,0.0,0.0,
51372,"Joint Crystals, Location",too_few_values,0.0,0.0,0.0,0.0
51373,"Joint Crystals, Number",too_few_values,0.0,0.0,0.0,0.0
51374,"Joint Crystals, Shape",too_few_values,0.0,0.0,0.0,0.0
51378,Metamyelocytes,too_few_values,13.0,5.0,1.0,100.0
51380,NRBC,too_few_values,31.0,7.0,1.0,100.0
51381,Other,too_few_values,2.0,2.0,1.0,100.0
51385,Atypical Lymphocytes,too_few_values,129.0,8.0,1.0,100.0
51387,Basophils,too_few_values,249.0,7.0,1.0,100.0
51388,CD10,too_few_values,0.0,0.0,0.0,0.0
51389,CD103,too_few_values,0.0,0.0,0.0,0.0
51390,CD117,too_few_values,0.0,0.0,0.0,0.0
51391,CD11c,too_few_values,0.0,0.0,0.0,0.0
51392,CD13,too_few_values,0.0,0.0,0.0,0.0
51393,CD138,too_few_values,0.0,0.0,0.0,0.0
51394,CD14,too_few_values,0.0,0.0,0.0,0.0
51395,CD15,too_few_values,0.0,0.0,0.0,0.0
51396,CD16,too_few_values,0.0,0.0,0.0,0.0
51397,CD16/56,too_few_values,0.0,0.0,0.0,0.0
51398,CD19,no_range,187.0,116.0,0.0,0.0
51399,CD2,too_few_values,0.0,0.0,0.0,0.0
51400,CD20,too_few_values,0.0,0.0,0.0,0.0
51401,CD22,too_few_values,0.0,0.0,0.0,0.0
51402,CD23,too_few_values,0.0,0.0,0.0,0.0
51403,CD25,too_few_values,0.0,0.0,0.0,0.0
51404,CD3,no_range,219.0,167.0,0.0,0.0
51405,CD33,too_few_values,0.0,0.0,0.0,0.0
51406,CD34,no_range,334.0,320.0,0.0,0.0
51407,CD38,too_few_values,0.0,0.0,0.0,0.0
51408,CD4,too_few_values,2.0,2.0,0.0,0.0
51409,CD4/CD8 Ratio,no_range,19.0,17.0,0.0,0.0
51410,CD41,too_few_values,0.0,0.0,0.0,0.0
51411,CD45,too_few_values,0.0,0.0,0.0,0.0
51412,CD5,too_few_values,0.0,0.0,0.0,0.0
51413,CD56,too_few_values,0.0,0.0,0.0,0.0
51414,CD57,too_few_values,0.0,0.0,0.0,0.0
51415,CD64,too_few_values,0.0,0.0,0.0,0.0
51416,CD7,too_few_values,0.0,0.0,0.0,0.0
51417,CD71,too_few_values,0.0,0.0,0.0,0.0
51418,CD8,too_few_values,2.0,2.0,0.0,0.0
51420,FMC-7,too_few_values,0.0,0.0,0.0,0.0
51421,Glyco A,too_few_values,0.0,0.0,0.0,0.0
51422,"Hematocrit, Other Fluid",too_few_values,0.0,0.0,1.0,100.0
51423,HLA-DR,too_few_values,0.0,0.0,0.0,0.0
51424,Immunophenotyping,too_few_values,0.0,0.0,0.0,0.0
51425,Kappa,too_few_values,0.0,0.0,0.0,0.0
51426,Lambda,too_few_values,0.0,0.0,0.0,0.0
51430,Metamyelocytes,too_few_values,28.0,7.0,1.0,100.0
51432,Myelocytes,too_few_values,21.0,6.0,1.0,100.0
51434,Other Cell,too_few_values,30.0,8.0,1.0,100.0
51437,Promyelocytes,too_few_values,14.0,2.0,1.0,100.0
51443,Blasts,too_few_values,5.0,2.0,1.0,100.0
51445,"Hematocrit, Pleural",too_few_values,1.0,1.0,1.0,100.0
51449,Metamyelocytes,too_few_values,33.0,7.0,1.0,100.0
51451,Myelocytes,too_few_values,19.0,3.0,1.0,100.0
51453,Other,too_few_values,25.0,2.0,1.0,100.0
51456,Promyelocytes,too_few_values,29.0,6.0,1.0,100.0
51459,Young Cells,never_measured,,,,
51460,"Blood, Occult",too_few_values,0.0,0.0,0.0,
51461,Ammonium Biurate,too_few_values,0.0,0.0,0.0,0.0
51462,Amorphous Crystals,too_few_values,1.0,1.0,0.0,0.0
51463,Bacteria,too_few_values,453.0,2.0,0.0,0.0
51464,Bilirubin,too_few_values,0.0,0.0,0.0,0.0
51465,Bilirubin Crystals,too_few_values,0.0,0.0,0.0,0.0
51466,Blood,too_few_values,1.0,1.0,0.0,0.0
51468,Calcium Carbonate Crystals,too_few_values,0.0,0.0,0.0,0.0
51469,Calcium Oxalate Crystals,too_few_values,0.0,0.0,0.0,0.0
51470,Calcium Phosphate Crystals,too_few_values,0.0,0.0,0.0,0.0
51472,Cholesterol Crystals,too_few_values,0.0,0.0,0.0,0.0
51473,Cysteine Crystals,too_few_values,0.0,0.0,0.0,0.0
51474,Eosinophils,too_few_values,0.0,0.0,0.0,
51475,Epithelial Casts,too_few_values,3.0,2.0,1.0,100.0
51476,Epithelial Cells,low_range_coverage,129807.0,133.0,1.0,4.86
51477,Free Fat,too_few_values,0.0,0.0,0.0,
51478,Glucose,too_few_values,22391.0,9.0,1.0,17.4
51480,Hematocrit,too_few_values,3.0,3.0,0.0,0.0
