itemid,label,n_ranges,ref_range_lower,ref_range_upper,n_hadm_with_range,units,n_hadm_no_range,n_hadm_no_value
50900,Carcinoembyronic Antigen (CEA),1,0.0,4.0,4717.0,ng/mL,0,443321
50901,Centromere,0,,,,,0,447689
50902,Chloride,1,96.0,108.0,409334.0,mEq/L,0,38363
50903,Cholesterol Ratio (Total/HDL),0,,,,,30174,417515
50904,"Cholesterol, HDL",1,41.0,999.0,13712.0,mg/dL,16859,417281
50905,"Cholesterol, LDL, Calculated",1,0.0,129.0,29140.0,mg/dL,0,418567
50906,"Cholesterol, LDL, Measured",1,0.0,129.0,2757.0,mg/dL,0,445166
50907,"Cholesterol, Total",1,0.0,199.0,31496.0,mg/dL,0,416198
50908,CK-MB Index,1,0.0,6.0,10764.0,%,0,436925
50909,Cortisol,1,2.0,20.0,13022.0,ug/dL,11,434676
50910,Creatine Kinase (CK),4,26.0,140.0,10251.0,IU/L,0,358228
50910,Creatine Kinase (CK),4,29.0,201.0,31571.0,IU/L,0,358228
50910,Creatine Kinase (CK),4,38.0,174.0,10472.0,IU/L,0,358228
50910,Creatine Kinase (CK),4,47.0,322.0,37220.0,IU/L,0,358228
50911,"Creatine Kinase, MB Isoenzyme",1,0.0,10.0,92072.0,ng/mL,0,368345
50912,Creatinine,2,0.4,1.1,208055.0,mg/dL,0,31856
50912,Creatinine,2,0.5,1.2,207792.0,mg/dL,0,31856
50913,Cryoglobulin,0,,,,,0,447689
50914,Cyclosporin,1,100.0,400.0,1864.0,ng/mL,0,445906
50915,D-Dimer,1,0.0,500.0,4261.0,ng/mL | ng/mL FEU,0,443795
50916,DHEA-Sulfate,14,9.4,246.0,9.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,12.0,154.0,15.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,16.2,123.0,5.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,18.9,205.0,14.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,33.6,249.0,9.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,35.4,256.0,10.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,44.3,331.0,2.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,51.7,295.0,11.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,60.9,337.0,8.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,88.9,427.0,5.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,98.8,340.0,11.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,148.0,407.0,2.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,160.0,449.0,3.0,ug/dL,0,447588
50916,DHEA-Sulfate,14,211.0,492.0,1.0,ug/dL,0,447588
50917,Digoxin,2,0.6,1.2,1299.0,ng/mL,0,442895
50917,Digoxin,2,0.9,2.0,3762.0,ng/mL,0,442895
50918,Double Stranded DNA,0,,,,,1,447688
50919,EDTA Hold,0,,,,,0,447689
50920,Estimated GFR (MDRD equation),0,,,,,0,447689
50921,Estradiol,2,0.0,500.0,76.0,pg/mL,0,447617
50921,Estradiol,2,8.0,45.0,10.0,pg/mL,0,447617
50922,Ethanol,2,0.0,10.0,595.0,mg/dL,0,444718
50922,Ethanol,2,10.0,10.0,19610.0,mg/dL,0,444718
50924,Ferritin,2,13.0,150.0,23586.0,ng/mL,0,400915
50924,Ferritin,2,30.0,400.0,23510.0,ng/mL,0,400915
50925,Folate,1,2.0,20.0,19424.0,ng/mL,0,432520
50926,Follicle Stimulating Hormone,1,2.0,12.0,455.0,mIU/mL,0,447256
50927,Gamma Glutamyltransferase,2,5.0,36.0,2605.0,IU/L,0,442596
50927,Gamma Glutamyltransferase,2,8.0,61.0,2489.0,IU/L,0,442596
50929,Gentamicin,1,5.0,10.0,1171.0,ug/mL,0,446646
50930,Globulin,1,2.0,4.0,7726.0,g/dL,0,439963
50931,Glucose,3,60.0,110.0,97.0,mg/dL,0,41437
50931,Glucose,3,70.0,100.0,353248.0,mg/dL,0,41437
50931,Glucose,3,70.0,105.0,53164.0,mg/dL,0,41437
50932,Gray Top Hold (plasma),0,,,,,353,447336
50933,Green Top Hold (plasma),0,,,,,49810,397879
50934,H,1,0.0,40.0,102.0,U,183495,264092
50935,Haptoglobin,1,30.0,200.0,26437.0,mg/dL,0,424016
50937,Hepatitis A Virus Antibody,0,,,,,7050,440639
50938,Hepatitis A Virus IgM Antibody,0,,,,,4375,443314
50939,"Hepatitis B Core Antibody, IgM",0,,,,,2839,444850
50940,Hepatitis B Surface Antibody,0,,,,,4,447685
50941,Hepatitis B Surface Antigen,0,,,,,8,447681
50942,Hepatitis B Virus Core Antibody,0,,,,,22,447667
50943,Hepatitis C Virus Antibody,0,,,,,4,447685
50945,Homocysteine,2,0.0,15.0,253.0,umol/L,0,447204
50945,Homocysteine,2,4.5,12.4,232.0,umol/L,0,447204
50946,Human Chorionic Gonadotropin,1,0.0,100000.0,4258.0,mIU/mL,0,447074
50947,I,1,0.0,10.0,103.0,U,183494,264092
50948,Immunofixation,0,,,,,0,447689
50949,Immunoglobulin A,1,70.0,400.0,9042.0,mg/dL,0,438839
50950,Immunoglobulin G,1,700.0,1600.0,9543.0,mg/dL,0,438158
50951,Immunoglobulin M,1,40.0,230.0,7895.0,mg/dL,0,439978
50952,Iron,2,30.0,160.0,22517.0,ug/dL,0,402681
50952,Iron,2,45.0,160.0,22510.0,ug/dL,0,402681
50953,"Iron Binding Capacity, Total",1,260.0,470.0,43377.0,ug/dL,0,404312
50954,Lactate Dehydrogenase (LD),1,94.0,250.0,126564.0,IU/L,0,321134
50955,Light Green Top Hold,0,,,,,37532,410157
50956,Lipase,1,0.0,60.0,58089.0,IU/L,0,389628
50957,Lithium,1,0.5,1.5,1671.0,mmol/L,0,446201
50958,Luteinizing Hormone,2,2.0,10.0,181.0,mIU/mL,0,447366
50958,Luteinizing Hormone,2,2.0,100.0,218.0,mIU/mL,0,447366
50960,Magnesium,2,1.5,2.2,1695.0,mg/dL,0,68572
50960,Magnesium,2,1.6,2.6,377434.0,mg/dL,0,68572
50961,Methotrexate,1,0.0,0.2,752.0,umol/L,1017,445952
50962,N-Acetylprocainamide (NAPA),1,0.0,30.0,4.0,ug/mL,0,447686
50963,NTproBNP,10,0.0,93.0,812.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,138.0,1002.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,177.0,2384.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,178.0,938.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,192.0,809.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,226.0,1970.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,229.0,3372.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,353.0,2994.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,624.0,6113.0,pg/mL,0,423226
50963,NTproBNP,10,0.0,852.0,5199.0,pg/mL,0,423226
50964,"Osmolality, Measured",1,275.0,310.0,15023.0,mOsm/kg,0,432672
50965,Parathyroid Hormone,1,15.0,65.0,6940.0,pg/mL,0,440799
50966,Phenobarbital,1,10.0,40.0,679.0,ug/mL,0,447088
50967,Phenytoin,1,10.0,20.0,4518.0,ug/mL,0,443364
50968,"Phenytoin, Free",1,1.0,2.0,360.0,ug/mL,0,447338
50969,"Phenytoin, Percent Free",1,6.0,16.0,351.0,%,0,447338
50970,Phosphate,1,2.7,4.5,369579.0,mg/dL,0,78114
50971,Potassium,2,3.3,5.1,285192.0,mEq/L,0,36156
50971,Potassium,2,3.5,5.4,126770.0,mEq/L,0,36156
50972,Procainamide,1,4.0,10.0,4.0,ug/mL,0,447686
50973,Prolactin,2,4.0,15.0,483.0,ng/mL,0,446618
50973,Prolactin,2,5.0,23.0,594.0,ng/mL,0,446618
50974,Prostate Specific Antigen,1,0.0,4.0,2410.0,ng/mL,2,445509
50975,Protein Electrophoresis,0,,,,,0,447689
50976,"Protein, Total",2,4.6,7.5,1.0,g/dL,0,430251
50976,"Protein, Total",2,6.4,8.3,17440.0,g/dL,0,430251
50978,Rapamycin,2,5.0,12.0,278.0,ng/mL,0,446496
50978,Rapamycin,2,5.0,15.0,953.0,ng/mL,0,446496
50979,Red Top Hold,0,,,,,0,447689
50980,Rheumatoid Factor,1,0.0,14.0,3269.0,IU/mL,0,445518
50981,Salicylate,1,2.0,25.0,20720.0,mg/dL,0,447526
50982,Sex Hormone Binding Globulin,3,14.0,48.0,213.0,nmol/L,0,447453
50982,Sex Hormone Binding Globulin,3,14.0,69.0,10.0,nmol/L,0,447453
50982,Sex Hormone Binding Globulin,3,26.0,110.0,13.0,nmol/L,0,447453
50983,Sodium,2,133.0,145.0,270390.0,mEq/L,0,37894
50983,Sodium,2,135.0,147.0,139838.0,mEq/L,0,37894
50986,tacroFK,1,5.0,20.0,10529.0,ng/mL,0,437508
50988,Testosterone,2,6.0,82.0,35.0,ng/dL,0,447315
50988,Testosterone,2,280.0,800.0,400.0,ng/dL,0,447315
50989,"Testosterone, Free",6,0.0,1.6,3.0,pg/mL,0,447659
50989,"Testosterone, Free",6,0.0,2.1,1.0,pg/mL,0,447659
50989,"Testosterone, Free",6,0.0,2.6,2.0,pg/mL,0,447659
50989,"Testosterone, Free",6,5.6,19.0,20.0,pg/mL,0,447659
50989,"Testosterone, Free",6,7.2,23.0,17.0,pg/mL,0,447659
50989,"Testosterone, Free",6,8.8,27.0,8.0,pg/mL,0,447659
50990,Theophylline,1,10.0,20.0,41.0,ug/mL,0,447655
50991,Thyroglobulin,1,0.0,55.0,316.0,ng/mL,0,447440
50992,Thyroid Peroxidase Antibodies,1,0.0,35.0,812.0,IU/mL,0,447343
50993,Thyroid Stimulating Hormone,1,0.27,4.2,61489.0,uIU/mL,0,386661
50994,Thyroxine (T4),1,4.6,12.0,6634.0,ug/dL,0,441060
50995,"Thyroxine (T4), Free",1,0.93,1.7,11923.0,ng/dL,0,435796
50996,"Tissue Transglutaminase Ab, IgA",1,0.0,19.0,2562.0,units,0,445152
50997,Tobramycin,1,6.0,10.0,834.0,ug/mL,0,446887
50998,Transferrin,1,200.0,360.0,43524.0,mg/dL,0,404173
50999,Tricyclic Antidepressant Screen,0,,,,,11110,436579
51000,Triglycerides,1,0.0,149.0,41893.0,mg/dL,0,405804
51001,Triiodothyronine (T3),1,80.0,200.0,4398.0,ng/dL,0,443315
51003,Troponin T,1,0.0,0.01,117015.0,ng/mL,0,394994
51005,Uptake Ratio,1,0.77,1.25,715.0,Ratio,0,446977
51006,Urea Nitrogen,1,6.0,20.0,411897.0,mg/dL,0,35821
51007,Uric Acid,2,2.4,5.7,10628.0,mg/dL,0,427599
51007,Uric Acid,2,3.4,7.0,9467.0,mg/dL,0,427599
51008,Valproic Acid,1,50.0,100.0,3262.0,ug/mL,0,444632
51009,Vancomycin,1,10.0,20.0,41872.0,ug/mL,0,406202
51010,Vitamin B12,1,240.0,900.0,31653.0,pg/mL,0,418578
51019,"Albumin, Joint Fluid",0,,,,,4,447685
51020,"Amylase, Joint Fluid",0,,,,,5,447684
51021,"Creatinine, Joint Fluid",0,,,,,1,447688
51022,"Glucose, Joint Fluid",0,,,,,45,447644
51023,"LD, Joint Fluid",0,,,,,19,447670
51024,"Total Protein, Joint Fluid",0,,,,,38,447651
51025,"Albumin, Body Fluid",0,,,,,596,447093
51026,"Amylase, Body Fluid",0,,,,,824,446865
51027,"Bicarbonate, Other Fluid",0,,,,,21,447668
51028,"Bilirubin, Total, Body Fluid",0,,,,,306,447383
51029,"Calcium, Body Fluid",0,,,,,7,447682
51030,"Chloride, Body Fluid",0,,,,,26,447663
51031,"Cholesterol, Body Fluid",0,,,,,9,447680
51032,"Creatinine, Body Fluid",0,,,,,326,447363
51033,FetalFN,0,,,,,5,447684
51034,"Glucose, Body Fluid",0,,,,,676,447013
51035,"LD, Body Fluid",0,,,,,621,447068
51036,"Lipase, Body Fluid",0,,,,,43,447646
51037,"Magnesium, Body Fluid",0,,,,,5,447684
51038,"Miscellaneous, Body Fluid",0,,,,,4,447685
51039,"Osmolality, Body Fluid",0,,,,,9,447680
51040,"Phosphate, Body Fluid",0,,,,,6,447683
51041,"Potassium, Body Fluid",0,,,,,31,447658
51042,"Sodium, Body Fluid",0,,,,,33,447656
51043,"Total Protein, Body Fluid",0,,,,,677,447012
51044,Triglycer,0,,,,,105,447584
51045,"Urea Nitrogen, Body Fluid",0,,,,,41,447648
51046,"Albumin, Pleural",0,,,,,3577,444112
51047,"Amylase, Pleural",0,,,,,1747,445942
51048,"Bicarbonate, Pleural",0,,,,,2,447687
51049,"Bilirubin, Total, Pleural",0,,,,,148,447541
51050,"Chloride, Pleural",0,,,,,1,447688
51051,"Cholesterol, Pleural",0,,,,,3803,443886
51052,"Creatinine, Pleural",0,,,,,1286,446403
51053,"Glucose, Pleural",0,,,,,5379,442310
51054,"Lactate Dehydrogenase, Pleural",0,,,,,5681,442008
51055,"Lipase, Pleural",0,,,,,15,447674
51056,"Miscellaneous, Pleural",0,,,,,6,447683
51057,"Potassium, Pleural",0,,,,,4,447685
51058,"Sodium, Pleural",0,,,,,5,447684
51059,"Total Protein, Pleural",0,,,,,5676,442013
51060,"Triglycerides, Pleural",0,,,,,1380,446309
51061,"Bicarbonate, Stool",0,,,,,24,447665
51062,"Chloride, Stool",0,,,,,77,447612
51063,"Osmolality, Stool",0,,,,,202,447487
51064,"Potassium, Stool",0,,,,,183,447506
51065,"Sodium, Stool",0,,,,,194,447495
51066,24 hr Calcium,0,,,,,154,447535
51067,24 hr Creatinine,0,,,,,2466,445223
51068,24 hr Protein,0,,,,,1442,446247
51069,"Albumin, Urine",0,,,,,2139,445550
51070,"Albumin/Creatinine, Urine",1,0.0,30.0,2327.0,mg/g,0,445420
51071,"Amphetamine Screen, Urine",0,,,,,11627,436062
51072,"Amylase, Urine",0,,,,,60,447629
51073,"Amylase/Creatinine Ratio, Urine",0,,,,,59,447630
51074,"Barbiturate Screen, Urine",0,,,,,11609,436080
51075,"Benzodiazepine Screen, Urine",0,,,,,11587,436102
51076,"Bicarbonate, Urine",0,,,,,661,447028
51077,"Calcium, Urine",0,,,,,2114,445575
51078,"Chloride, Urine",0,,,,,23689,424000
51079,"Cocaine, Urine",0,,,,,11766,435923
51080,Creatinine Clearance,2,75.0,115.0,159.0,mL/min,0,447373
51080,Creatinine Clearance,2,85.0,125.0,158.0,mL/min,0,447373
51081,"Creatinine, Serum",0,,,,,317,447372
51082,"Creatinine, Urine",0,,,,,51055,396634
51083,"Ethanol, Urine",0,,,,,3,447686
51084,"Glucose, Urine",0,,,,,101,447588
51085,"HCG, Urine, Qualitative",0,,,,,650,447039
51086,"Immunofixation, Urine",0,,,,,0,447689
51087,Length of Urine Collection,0,,,,,3105,444584
51088,"Magnesium, Urine",0,,,,,1519,446170
51089,Marijuana,0,,,,,27,447662
51090,"Methadone, Urine",0,,,,,11551,436138
51091,"Myoglobin, Urine",0,,,,,0,447689
51092,"Opiate Screen, Urine",0,,,,,11595,436094
51093,"Osmolality, Urine",0,,,,,35833,411856
51094,pH,0,,,,,3071,444618
51095,"Phosphate, Urine",0,,,,,2502,445187
51096,Porphobilinogen Screen,0,,,,,297,447392
51097,"Potassium, Urine",0,,,,,27316,420373
51098,"Prot. Electrophoresis, Urine",0,,,,,0,447689
51099,Protein/Creatinine Ratio,1,0.0,0.2,12878.0,Ratio | mg/mg,0,435095
51100,"Sodium, Urine",0,,,,,41161,406528
51101,Total Collection Time,0,,,,,317,447372
51102,"Total Protein, Urine",0,,,,,15111,432578
51103,Uhold,0,,,,,31000,416689
51104,"Urea Nitrogen, Urine",0,,,,,29730,417959
51105,"Uric Acid, Urine",0,,,,,1736,445953
51106,Urine Creatinine,0,,,,,317,447372
51107,"Urine tube, held",0,,,,,27617,420072
51108,Urine Volume,0,,,,,3106,444583
51109,"Urine Volume, Total",0,,,,,317,447372
51110,Atypical Lymphocytes,1,0.0,0.0,347.0,%,0,447342
51111,Bands,1,0.0,0.0,230.0,%,0,447460
51112,Basophils,1,0.0,0.0,425.0,%,0,447265
51113,Blasts,1,0.0,0.0,5.0,%,0,447684
51114,Eosinophils,1,0.0,0.0,1309.0,%,0,446381
51115,"Hematocrit, Ascites",1,0.0,0.0,242.0,%,0,447471
51116,Lymphocytes,1,0.0,0.0,6614.0,%,0,441130
51117,Macrophage,1,0.0,0.0,5789.0,%,0,441904
51118,Mesothelial Cell,1,0.0,0.0,4842.0,%,0,442852
51119,Metamyelocytes,1,0.0,0.0,34.0,%,0,447655
51120,Monocytes,1,0.0,0.0,6614.0,%,0,441130
51121,Myelocytes,1,0.0,0.0,25.0,%,0,447664
51122,Nucleated RBC,1,0.0,0.0,146.0,%,0,447543
51123,Other,1,0.0,0.0,2485.0,%,0,445207
51124,Plasma,1,0.0,0.0,729.0,%,0,446960
51125,Polys,1,0.0,0.0,6614.0,%,0,441130
51126,Promyelocytes,1,0.0,0.0,25.0,%,0,447664
51127,"RBC, Ascites",1,0.0,0.0,6532.0,#/uL,0,441209
51129,Young,1,0.0,0.0,2.0,%,0,447687
51130,Absolute CD3 Count,1,578.0,1850.0,2289.0,#/uL,0,445403
51131,Absolute CD4 Count,1,350.0,1100.0,2289.0,#/uL,0,445403
51132,Absolute CD8 Count,1,193.0,685.0,2289.0,#/uL,0,445403
51133,Absolute Lymphocyte Count,2,1.0,3.8,17.0,K/uL,0,347580
51133,Absolute Lymphocyte Count,2,1.2,3.7,100206.0,K/uL,0,347580
51134,Acanthocytes,0,,,,,1,447688
51135,ADP,0,,,,,0,447689
51137,Anisocytosis,0,,,,,6,447683
51138,Anticardiolipin Antibody IgG,1,0.0,15.0,933.0,GPL,0,446772
51139,Anticardiolipin Antibody IgM,1,0.0,12.5,933.0,MPL,0,446774
51140,Antithrombin,2,69.0,121.0,148.0,%,0,447021
51140,Antithrombin,2,80.0,130.0,528.0,%,0,447021
51142,Arachadonic Acid,0,,,,,0,447689
51143,Atypical Lymphocytes,1,0.0,0.0,32875.0,%,0,414820
51144,Bands,1,0.0,5.0,37754.0,%,0,409944
51145,Basophilic Stippling,0,,,,,4,447685
51146,Basophils,2,0.0,1.0,100223.0,%,0,263986
51146,Basophils,2,0.0,2.0,83731.0,%,0,263986
51147,Bite Cells,0,,,,,0,447689
51148,Blasts,1,0.0,0.0,2626.0,%,0,445065
51149,Bleeding Time,1,2.0,8.0,19.0,min,0,447674
51150,Blood Parasite Smear,0,,,,,2445,445244
51152,CD10,0,,,,,452,447237
51153,CD103,0,,,,,16,447673
51154,CD117,0,,,,,134,447555
51155,CD11c,0,,,,,127,447562
51156,CD13,0,,,,,153,447536
51157,CD138,0,,,,,9,447680
51158,CD14,0,,,,,131,447558
51159,CD15,0,,,,,132,447557
51161,CD16,0,,,,,28,447661
51162,CD16/56 Absolute Count,0,,,,,63,447626
51163,CD16/56%,0,,,,,63,447626
51164,CD19,0,,,,,478,447211
51165,CD19 %,0,,,,,116,447573
51166,CD19 Absolute Count,0,,,,,116,447573
51167,CD2,0,,,,,344,447345
51168,CD20,0,,,,,457,447232
51169,CD20 %,0,,,,,116,447573
51170,CD20 Absolute Count,0,,,,,116,447573
51171,CD22,0,,,,,19,447670
51172,CD23,0,,,,,331,447358
51173,CD25,0,,,,,24,447665
51174,CD3 %,0,,,,,167,447522
51175,CD3 Absolute Count,0,,,,,167,447522
51176,"CD3 Cells, Percent",0,,,,,2707,444982
51177,CD33,0,,,,,131,447558
51178,CD34,0,,,,,163,447526
51179,CD38,0,,,,,22,447667
51180,"CD4 Cells, Percent",0,,,,,2552,445137
51181,CD4/CD8 Ratio,1,0.84,3.0,2289.0,Ratio,0,445403
51182,CD41,0,,,,,106,447583
51183,CD45,0,,,,,502,447187
51184,CD5,0,,,,,447,447242
51185,CD5 %,0,,,,,129,447560
51186,CD5 Absolute Count,0,,,,,129,447560
51187,CD55,0,,,,,74,447615
51188,CD56,0,,,,,150,447539
51189,CD57,0,,,,,40,447649
51190,CD59,0,,,,,74,447615
51191,CD64,0,,,,,116,447573
51192,CD7,0,,,,,349,447340
51193,CD71,0,,,,,111,447578
51194,"CD8 Cells, Percent",0,,,,,2549,445140
51195,Collagen,0,,,,,0,447689
51196,D-Dimer,1,0.0,500.0,4654.0,ng/mL | ng/mL FEU,0,443336
51197,Elliptocytes,0,,,,,1,447688
51198,Envelope Cells,0,,,,,0,447689
51199,Eosinophil Count,1,0.0,440.0,116.0,#/uL,0,447573
51200,Eosinophils,3,0.0,4.0,83731.0,%,0,263986
51200,Eosinophils,3,1.0,4.0,17.0,%,0,263986
51200,Eosinophils,3,1.0,7.0,100207.0,%,0,263986
51201,Epinepherine,0,,,,,0,447689
51202,Factor II,2,50.0,150.0,9.0,%,0,447538
