itemid,label,units,ref_range_lower,ref_range_upper,n_hadm_with_range,mean_age,std_age,pct_female
51205,Factor VII,%,65.0,180.0,333,57.2,17.2,36.9
51206,Factor VIII,%,50.0,150.0,142,52.6,18.0,49.3
51206,Factor VIII,%,50.0,200.0,816,55.9,17.4,41.4
51208,Factor X,%,50.0,150.0,20,61.7,15.9,35.0
51208,Factor X,%,80.0,160.0,183,57.7,17.4,33.3
51209,Factor XI,%,50.0,150.0,16,62.5,12.0,50.0
51209,Factor XI,%,65.0,155.0,89,57.9,19.8,49.4
51209,Factor XI,%,80.0,180.0,4,73.5,8.3,25.0
51210,Factor XII,%,40.0,150.0,2,54.5,15.5,0.0
51210,Factor XII,%,50.0,180.0,26,62.3,18.9,30.8
51210,Factor XII,%,60.0,200.0,1,84.0,,0.0
51214,"Fibrinogen, Functional",mg/dL,150.0,400.0,8597,59.2,18.1,47.5
51214,"Fibrinogen, Functional",mg/dL,180.0,400.0,33662,60.2,16.7,43.2
51221,Hematocrit,%,34.0,45.0,109711,57.6,19.4,100.0
51221,Hematocrit,%,36.0,48.0,112970,59.0,19.8,100.0
51221,Hematocrit,%,40.0,51.0,105641,60.0,16.3,0.0
51221,Hematocrit,%,40.0,52.0,102643,60.4,16.9,0.0
51222,Hemoglobin,g/dL,11.2,15.7,108057,57.9,19.2,100.0
51222,Hemoglobin,g/dL,12.0,16.0,109529,59.4,19.6,100.0
51222,Hemoglobin,g/dL,13.7,17.5,104872,60.0,16.4,0.0
51222,Hemoglobin,g/dL,14.0,18.0,100218,60.3,17.0,0.0
51223,Hemoglobin A2,%,2.2,3.2,56,46.8,18.6,57.1
51223,Hemoglobin A2,%,2.2,3.3,187,43.4,19.2,55.1
51223,Hemoglobin A2,%,2.5,3.3,84,49.0,20.6,56.0
51244,Lymphocytes,%,7.0,59.0,17,19.2,0.8,52.9
51244,Lymphocytes,%,18.0,42.0,83731,59.2,18.3,51.0
51244,Lymphocytes,%,19.0,53.0,100207,59.1,17.5,48.5
51245,"Lymphocytes, Percent",%,18.0,42.0,1296,49.6,12.2,28.5
51245,"Lymphocytes, Percent",%,19.0,53.0,993,50.6,13.9,28.9
51248,MCH,pg,26.0,32.0,212071,58.9,17.9,50.7
51248,MCH,pg,27.0,32.0,209644,59.9,18.4,52.2
51249,MCHC,%,31.0,35.0,209648,59.9,18.4,52.2
51249,MCHC,g/dL,32.0,37.0,212071,58.9,17.9,50.7
51254,Monocytes,%,2.0,11.0,83731,59.2,18.3,51.0
51254,Monocytes,%,4.0,9.0,17,19.2,0.8,52.9
51254,Monocytes,%,5.0,13.0,100207,59.1,17.5,48.5
51256,Neutrophils,%,30.0,77.0,17,19.2,0.8,52.9
51256,Neutrophils,%,34.0,71.0,100207,59.1,17.5,48.5
51256,Neutrophils,%,50.0,70.0,83731,59.2,18.3,51.0
51265,Platelet Count,K/uL,150.0,400.0,212803,58.9,17.9,50.6
51265,Platelet Count,K/uL,150.0,440.0,211703,59.9,18.4,52.0
51271,"Protein C, Functional",%,67.0,123.0,225,47.2,15.0,52.0
51271,"Protein C, Functional",%,70.0,170.0,510,50.3,14.7,50.2
51273,"Protein S, Functional",%,50.0,150.0,496,50.0,14.7,50.2
51273,"Protein S, Functional",%,51.0,133.0,216,47.3,15.1,51.9
51274,PT,sec,9.4,12.5,205472,61.5,16.8,47.3
51274,PT,sec,10.4,13.1,2,80.5,6.5,100.0
51274,PT,sec,10.4,13.4,67832,62.9,17.6,48.4
51275,PTT,sec,22.0,35.0,65639,62.8,17.6,48.5
51275,PTT,sec,25.0,36.5,197314,61.5,16.8,47.2
51279,Red Blood Cells,m/uL,3.9,5.2,107539,57.9,19.2,100.0
51279,Red Blood Cells,m/uL,4.2,5.4,109492,59.5,19.6,100.0
51279,Red Blood Cells,m/uL,4.6,6.1,104533,60.0,16.4,0.0
51279,Red Blood Cells,m/uL,4.6,6.2,100152,60.3,17.0,0.0
51282,"Reticulocyte Count, Absolute",m/uL,0.02,0.1,16983,61.4,16.7,47.5
51282,"Reticulocyte Count, Absolute",m/uL,0.03,0.1,3,18.0,0.0,66.7
51283,"Reticulocyte Count, Automated",%,0.4,2.0,16852,61.4,16.7,47.5
51283,"Reticulocyte Count, Automated",%,1.2,3.2,9637,62.2,17.3,51.7
51284,"Reticulocyte Count, Manual",%,0.4,2.0,315,52.9,20.5,50.8
51284,"Reticulocyte Count, Manual",%,0.5,1.5,949,58.2,18.0,52.6
51288,Sedimentation Rate,mm/hr,0.0,15.0,4987,56.6,17.2,0.0
51288,Sedimentation Rate,mm/hr,0.0,20.0,5138,56.4,18.8,100.0
51297,Thrombin,sec,10.0,13.0,229,59.1,17.8,54.1
51297,Thrombin,sec,10.3,16.3,546,60.1,17.4,51.8
51297,Thrombin,sec,10.3,16.6,497,56.6,17.1,47.5
51297,Thrombin,sec,13.0,22.0,36,60.1,17.6,52.8
51297,Thrombin,sec,16.0,20.0,7,46.9,14.8,42.9
51299,Von Willebrand Factor Antigen,%,50.0,180.0,287,56.6,19.5,51.9
51299,Von Willebrand Factor Antigen,%,60.0,158.0,83,51.0,19.7,59.0
51300,WBC Count,K/uL,4.0,10.0,993,50.6,13.9,28.9
51300,WBC Count,K/uL,4.0,11.0,1296,49.6,12.2,28.5
51301,White Blood Cells,K/uL,4.0,10.0,212165,58.9,17.9,50.7
51301,White Blood Cells,K/uL,4.0,11.0,209787,59.9,18.4,52.2
51383,"RBC, Joint Fluid",#/uL,0.0,0.0,1102,62.5,16.3,38.6
51383,"RBC, Joint Fluid",#/uL,0.0,2000.0,873,62.9,15.3,39.7
51613,eAG,mg/dL,68.0,126.0,24611,60.8,16.7,43.8
51613,eAG,mg/dL,91.0,123.0,14910,63.7,15.7,43.4
51621,Ethylene Glycol,mg/dL,0.0,20.0,10,52.6,9.9,60.0
51621,Ethylene Glycol,mg/dL,10.0,10.0,151,47.8,15.1,41.1
52024,"Creatinine, Whole Blood",mg/dL,0.4,1.1,1715,62.4,17.4,99.8
52024,"Creatinine, Whole Blood",mg/dL,0.5,1.2,2292,61.1,16.5,0.0
52069,Absolute Basophil Count,K/uL,0.0,0.2,17,19.2,0.8,52.9
52069,Absolute Basophil Count,K/uL,0.01,0.08,100206,59.1,17.5,48.5
52073,Absolute Eosinophil Count,K/uL,0.02,0.23,17,19.2,0.8,52.9
52073,Absolute Eosinophil Count,K/uL,0.04,0.54,100212,59.1,17.5,48.5
52074,Absolute Monocyte Count,K/uL,0.2,0.8,100206,59.1,17.5,48.5
52074,Absolute Monocyte Count,K/uL,0.2,1.6,17,19.2,0.8,52.9
52075,Absolute Neutrophil Count,K/uL,1.6,6.1,100213,59.1,17.5,48.5
52075,Absolute Neutrophil Count,K/uL,2.3,7.5,17,19.2,0.8,52.9
52135,Immature Granulocytes,%,0.0,0.6,69886,59.0,17.6,48.6
52135,Immature Granulocytes,%,0.0,0.8,13,19.1,0.8,46.2
52285,"RBC, CSF",#/uL,0.0,0.0,4246,54.9,16.9,50.0
52285,"RBC, CSF",#/uL,0.0,5.0,2601,56.3,17.2,51.9
52312,"Total Nucleated Cells, Joint",#/uL,0.0,150.0,1326,62.5,16.1,39.7
52312,"Total Nucleated Cells, Joint",#/uL,0.0,200.0,918,62.8,15.2,40.0
