itemid,label,n_cohorts,n_admissions,n_value,n_no_value,n_value_and_range,n_value_no_range,n_range_no_value,pct_measured,pct_of_measured_with_range
50811,Hemoglobin (Blood Gas),100,5480.4,393.0,5087.4,393.0,0.0,2.6,7.2,100.0
50889,C-Reactive Protein,100,5480.4,391.5,5088.9,391.4,0.1,118.0,7.1,100.0
50935,Haptoglobin,100,5480.4,389.6,5090.8,389.6,0.0,53.4,7.1,100.0
52135,Immature Granulocytes,100,5480.4,382.4,5098.0,99.4,283.0,1487.8,7.0,26.0
51010,Vitamin B12,100,5480.4,379.2,5101.2,379.2,0.0,42.5,6.9,100.0
50806,"Chloride, Whole Blood",100,5480.4,357.0,5123.4,357.0,0.0,1.7,6.5,100.0
50907,"Cholesterol, Total",100,5480.4,329.2,5151.2,329.2,0.0,4.9,6.0,100.0
50904,"Cholesterol, HDL",100,5480.4,316.8,5163.6,235.5,81.3,4.6,5.8,74.3
51007,Uric Acid,100,5480.4,301.6,5178.8,301.6,0.0,0.3,5.5,100.0
50976,"Protein, Total",100,5480.4,275.0,5205.4,275.0,0.0,2.1,5.0,100.0
51484,Ketone,100,5480.4,235.3,5245.1,154.8,80.5,1084.3,4.3,65.8
50883,"Bilirubin, Direct",100,5480.4,229.2,5251.2,229.2,0.0,78.4,4.2,100.0
50867,Amylase,100,5480.4,203.3,5277.0,203.3,0.0,0.2,3.7,100.0
50964,"Osmolality, Measured",100,5480.4,190.7,5289.7,190.7,0.0,9.0,3.5,100.0
50995,"Thyroxine (T4), Free",100,5480.4,176.4,5304.0,176.4,0.0,0.2,3.2,100.0
50925,Folate,100,5480.4,167.9,5312.5,167.9,0.0,53.3,3.1,100.0
51099,Protein/Creatinine Ratio,100,5480.4,163.7,5316.7,163.7,0.0,5.4,3.0,100.0
50950,Immunoglobulin G,100,5480.4,143.2,5337.2,143.2,0.0,0.4,2.6,100.0
50930,Globulin,100,5480.4,134.4,5346.0,134.4,0.0,0.0,2.5,100.0
50949,Immunoglobulin A,100,5480.4,130.3,5350.1,130.3,0.0,3.4,2.4,100.0
51120,Monocytes (Ascites),100,5480.4,122.7,5357.7,122.7,0.0,2.4,2.2,100.0
51116,Lymphocytes (Ascites),100,5480.4,121.7,5358.7,121.7,0.0,3.4,2.2,100.0
52065,"Total Nucleated Cells, Ascites",100,5480.4,121.1,5359.3,121.1,0.0,4.1,2.2,100.0
51127,"RBC, Ascites",100,5480.4,120.8,5359.6,120.8,0.0,3.5,2.2,100.0
51125,Polys (Ascites),100,5480.4,119.7,5360.6,119.7,0.0,5.4,2.2,100.0
50853,25-OH Vitamin D,100,5480.4,118.3,5362.1,118.3,0.0,87.1,2.2,100.0
50951,Immunoglobulin M,100,5480.4,115.6,5364.8,115.6,0.0,4.9,2.1,100.0
51117,Macrophage (Ascites),100,5480.4,103.2,5377.2,103.2,0.0,11.7,1.9,100.0
50908,CK-MB Index,100,5480.4,97.0,5383.4,97.0,0.0,0.0,1.8,100.0
50965,Parathyroid Hormone,100,5480.4,96.1,5384.3,96.1,0.0,0.4,1.8,100.0
51479,Granular Casts,100,5480.4,92.2,5388.1,92.2,0.0,0.1,1.7,100.0
50803,"Calculated Bicarbonate, Whole Blood",100,5480.4,88.6,5391.8,88.6,0.0,4.3,1.6,100.0
50994,Thyroxine (T4),100,5480.4,83.9,5396.5,83.9,0.0,3.6,1.5,100.0
50927,Gamma Glutamyltransferase,100,5480.4,82.4,5398.0,82.4,0.0,2.5,1.5,100.0
51450,Monos (Pleural),100,5480.4,81.8,5398.6,81.8,0.0,1.5,1.5,100.0
52391,"Total Nucleated Cells, Pleural",100,5480.4,78.9,5401.5,78.9,0.0,4.4,1.4,100.0
51446,Lymphocytes (Pleural),100,5480.4,78.3,5402.1,78.3,0.0,5.0,1.4,100.0
51118,Mesothelial Cell,100,5480.4,77.8,5402.6,77.8,0.0,20.7,1.4,100.0
51455,Polys (Pleural),100,5480.4,77.5,5402.9,77.5,0.0,5.8,1.4,100.0
51457,"RBC, Pleural",100,5480.4,75.7,5404.6,75.7,0.0,3.3,1.4,100.0
51627,Free Lambda,100,5480.4,68.4,5412.0,68.4,0.0,2.3,1.2,100.0
51625,Free Kappa,100,5480.4,67.3,5413.1,67.3,0.0,3.3,1.2,100.0
51802,"Total Protein, CSF",100,5480.4,65.8,5414.6,65.8,0.0,0.6,1.2,100.0
52024,"Creatinine, Whole Blood",100,5480.4,65.2,5415.2,65.2,0.0,1.8,1.2,100.0
51269,Promyelocytes,100,5480.4,61.7,5418.7,61.7,0.0,0.9,1.1,100.0
51626,Free Kappa/Free Lambda Ratio,100,5480.4,61.3,5419.1,61.3,0.0,9.3,1.1,100.0
51447,Macrophages,100,5480.4,61.1,5419.3,61.1,0.0,8.3,1.1,100.0
51001,Triiodothyronine (T3),100,5480.4,54.5,5425.9,54.5,0.0,0.4,1.0,100.0
51431,Monos (Other Body Fluid),100,5480.4,53.3,5427.1,53.3,0.0,1.1,1.0,100.0
50917,Digoxin,100,5480.4,53.2,5427.2,53.2,0.0,5.3,1.0,100.0
50891,C4,100,5480.4,53.1,5427.3,53.1,0.0,0.5,1.0,100.0
51427,Lymphocytes (Other Body Fluid),100,5480.4,52.1,5428.3,52.1,0.0,2.3,1.0,100.0
50890,C3,100,5480.4,50.7,5429.7,50.7,0.0,0.0,0.9,100.0
52285,"RBC, CSF",100,5480.4,49.4,5431.0,49.4,0.0,18.6,0.9,100.0
51148,Blasts,100,5480.4,47.9,5432.5,47.9,0.0,9.3,0.9,100.0
51436,Polys (Other Body Fluid),100,5480.4,41.3,5439.1,41.3,0.0,13.0,0.8,100.0
51448,Mesothelial Cells (Pleural),100,5480.4,40.8,5439.6,40.8,0.0,12.6,0.7,100.0
51070,"Albumin/Creatinine, Urine",100,5480.4,39.4,5441.0,39.4,0.0,1.5,0.7,100.0
50866,Ammonia,100,5480.4,36.8,5443.6,36.8,0.0,11.5,0.7,100.0
51300,WBC Count,100,5480.4,32.5,5447.9,32.5,0.0,0.0,0.6,100.0
51245,"Lymphocytes, Percent",100,5480.4,32.5,5447.9,32.5,0.0,0.0,0.6,100.0
51130,Absolute CD3 Count,100,5480.4,32.3,5448.1,32.3,0.0,0.2,0.6,100.0
51131,Absolute CD4 Count,100,5480.4,32.3,5448.1,32.3,0.0,0.2,0.6,100.0
51132,Absolute CD8 Count,100,5480.4,32.3,5448.1,32.3,0.0,0.2,0.6,100.0
51008,Valproic Acid,100,5480.4,32.1,5448.3,32.1,0.0,1.7,0.6,100.0
51181,CD4/CD8 Ratio,100,5480.4,32.0,5448.4,32.0,0.0,0.5,0.6,100.0
51375,Lymphocytes (Joint Fluid),100,5480.4,30.9,5449.4,30.9,0.0,1.8,0.6,100.0
51379,Monocytes (Joint Fluid),100,5480.4,30.9,5449.5,30.9,0.0,1.8,0.6,100.0
51428,Macrophage (Other Body Fluid),100,5480.4,30.1,5450.3,30.1,0.0,12.8,0.5,100.0
52312,"Total Nucleated Cells, Joint",100,5480.4,28.4,5452.0,28.4,0.0,4.4,0.5,100.0
51382,Polys (Joint Fluid),100,5480.4,28.4,5452.0,28.4,0.0,4.4,0.5,100.0
51383,"RBC, Joint Fluid",100,5480.4,26.5,5453.9,26.5,0.0,3.2,0.5,100.0
51228,Heparin,100,5480.4,26.5,5453.9,26.5,0.0,6.4,0.5,100.0
51444,Eosinophils (Pleural),100,5480.4,25.3,5455.1,25.3,0.0,0.2,0.5,100.0
50906,"Cholesterol, LDL, Measured",100,5480.4,24.2,5456.2,24.2,0.0,5.6,0.4,100.0
50905,"Cholesterol, LDL, Calculated",100,5480.4,23.7,5456.6,23.7,0.0,279.2,0.4,100.0
51114,Eosinophils (Ascites),100,5480.4,23.1,5457.3,23.1,0.0,0.3,0.4,100.0
52369,"Total Nucleated Cells, Other",100,5480.4,19.9,5460.5,19.9,0.0,1.3,0.4,100.0
51419,Eosinophils (Other Body Fluid),100,5480.4,18.8,5461.6,18.8,0.0,0.3,0.3,100.0
51263,Plasma Cells (Blood),100,5480.4,18.3,5462.1,18.3,0.0,0.7,0.3,100.0
51124,Plasma (Ascites),100,5480.4,18.0,5462.4,18.0,0.0,3.7,0.3,100.0
51438,"RBC, Other Fluid",100,5480.4,17.2,5463.2,17.2,0.0,1.3,0.3,100.0
50967,Phenytoin,100,5480.4,16.8,5463.5,16.8,0.0,0.6,0.3,100.0
50805,Carboxyhemoglobin,100,5480.4,16.7,5463.7,16.7,0.0,0.2,0.3,100.0
50881,Beta-2 Microglobulin,100,5480.4,16.5,5463.9,16.5,0.0,0.1,0.3,100.0
50814,Methemoglobin,100,5480.4,15.9,5464.5,15.9,0.0,0.2,0.3,100.0
51376,Macrophage (Joint Fluid),100,5480.4,15.0,5465.3,15.0,0.0,1.6,0.3,100.0
51297,Thrombin,100,5480.4,14.9,5465.5,14.9,0.0,2.1,0.3,100.0
50856,Acetaminophen,100,5480.4,14.4,5466.0,14.4,0.0,205.1,0.3,100.0
51567,Beta Hydroxybutyrate,100,5480.4,13.2,5467.2,13.2,0.0,7.3,0.2,100.0
52286,"Total Nucleated Cells, CSF",100,5480.4,12.5,5467.9,9.7,2.8,42.8,0.2,77.6
51206,Factor VIII,100,5480.4,12.3,5468.1,12.3,0.0,1.9,0.2,100.0
51454,Plasma Cells (Pleural),100,5480.4,11.5,5468.9,11.5,0.0,2.3,0.2,100.0
50957,Lithium,100,5480.4,11.2,5469.2,11.2,0.0,2.1,0.2,100.0
51442,Basophils (Pleural),100,5480.4,11.1,5469.3,11.1,0.0,0.0,0.2,100.0
51284,"Reticulocyte Count, Manual",100,5480.4,9.9,5470.5,9.9,0.0,0.0,0.2,100.0
51229,"Heparin, LMW",100,5480.4,9.0,5471.3,8.4,0.7,2.2,0.2,93.3
51429,Mesothelial cells,100,5480.4,8.8,5471.6,8.8,0.0,4.6,0.2,100.0
51005,Uptake Ratio,100,5480.4,7.9,5472.5,7.9,0.0,0.0,0.1,100.0
50896,Calculated Thyroxine (T4) Index,100,5480.4,7.9,5472.5,7.9,0.0,0.0,0.1,100.0
50895,Calculated TBG,100,5480.4,7.8,5472.5,7.8,0.0,0.1,0.1,100.0
50997,Tobramycin,100,5480.4,7.0,5473.4,7.0,0.0,0.6,0.1,100.0
52109,dRVVT - Screen,100,5480.4,7.0,5473.4,7.0,0.0,4.6,0.1,100.0
52179,SCT - Screen,100,5480.4,7.0,5473.4,7.0,0.0,0.5,0.1,100.0
51276,Quantitative G6PD,100,5480.4,6.6,5473.8,6.6,0.0,1.0,0.1,100.0
51471,Cellular Cast,100,5480.4,6.4,5474.0,6.4,0.0,0.1,0.1,100.0
51232,Hypersegmented Neutrophils,100,5480.4,5.6,5474.8,5.6,0.0,0.0,0.1,100.0
51110,Atypical Lymphocytes (Ascites),100,5480.4,5.6,5474.8,5.6,0.0,1.0,0.1,100.0
51368,Eosinophils (Joint Fluid),100,5480.4,5.5,5474.9,5.5,0.0,0.0,0.1,100.0
50992,Thyroid Peroxidase Antibodies,100,5480.4,4.6,5475.8,4.6,0.0,5.3,0.1,100.0
50988,Testosterone,100,5480.4,4.3,5476.1,4.3,0.0,0.8,0.1,100.0
52132,HIT-Ab Numerical Result,100,5480.4,3.7,5476.7,3.7,0.0,16.8,0.1,100.0
51111,Bands (Ascites),100,5480.4,3.6,5476.8,3.6,0.0,0.2,0.1,100.0
50966,Phenobarbital,100,5480.4,3.5,5476.9,3.5,0.0,0.6,0.1,100.0
51298,Von Willebrand Factor Activity,100,5480.4,3.4,5477.0,3.4,0.0,1.0,0.1,100.0
51440,Atypical Lymphocytes (Pleural),100,5480.4,3.4,5477.0,3.4,0.0,1.0,0.1,100.0
51140,Antithrombin,100,5480.4,3.3,5477.1,3.3,0.0,3.3,0.1,100.0
51259,Other Cells,100,5480.4,3.2,5477.2,3.2,0.0,48.7,0.1,100.0
51271,"Protein C, Functional",100,5480.4,3.0,5477.4,3.0,0.0,1.1,0.1,100.0
50982,Sex Hormone Binding Globulin,100,5480.4,3.0,5477.4,3.0,0.0,0.0,0.1,100.0
51224,Hemoglobin C,100,5480.4,2.9,5477.5,2.9,0.0,0.0,0.1,100.0
51223,Hemoglobin A2,100,5480.4,2.9,5477.5,2.9,0.0,0.2,0.1,100.0
51227,Hemogloblin S,100,5480.4,2.9,5477.5,2.9,0.0,0.0,0.1,100.0
51225,Hemoglobin F,100,5480.4,2.9,5477.5,2.9,0.0,0.0,0.1,100.0
51289,Serum Viscosity,100,5480.4,2.8,5477.6,2.8,0.0,0.1,0.1,100.0
51204,Factor V,100,5480.4,2.7,5477.7,2.7,0.0,1.9,0.0,100.0
50894,Calculated Free Testosterone,100,5480.4,2.6,5477.8,2.6,0.0,0.0,0.0,100.0
50899,Carbamazepine,100,5480.4,2.6,5477.7,2.6,0.0,0.7,0.0,100.0
51517,WBC Casts,100,5480.4,2.5,5477.9,2.5,0.0,0.0,0.0,100.0
51441,Bands (Pleural),100,5480.4,2.2,5478.2,2.2,0.0,0.1,0.0,100.0
52108,dRVVT - Normalized Ratio,100,5480.4,2.1,5478.2,2.1,0.0,2.0,0.0,100.0
52107,dRVVT - Confirmation,100,5480.4,2.1,5478.3,2.1,0.0,2.1,0.0,100.0
51273,"Protein S, Functional",100,5480.4,2.0,5478.3,2.0,0.0,1.7,0.0,100.0
51299,Von Willebrand Factor Antigen,100,5480.4,1.9,5478.5,1.9,0.0,2.3,0.0,100.0
50916,DHEA-Sulfate,100,5480.4,1.8,5478.6,1.8,0.0,0.1,0.0,100.0
51366,Bands (Joint Fluid),100,5480.4,1.7,5478.7,1.7,0.0,0.0,0.0,100.0
51515,Waxy Casts,100,5480.4,1.6,5478.8,1.6,0.0,0.0,0.0,100.0
51435,Plasma (Other Body Fluid),100,5480.4,1.6,5478.8,1.6,0.0,0.4,0.0,100.0
51386,Bands (Other Body Fluid),100,5480.4,1.5,5478.9,1.5,0.0,0.1,0.0,100.0
51205,Factor VII,100,5480.4,1.3,5479.0,1.3,0.0,6.0,0.0,100.0
51452,NRBC (Pleural),100,5480.4,1.2,5479.1,1.2,0.0,0.0,0.0,100.0
51080,Creatinine Clearance,100,5480.4,1.2,5479.2,1.2,0.0,2.3,0.0,100.0
50981,Salicylate,100,5480.4,1.1,5479.3,1.1,0.0,209.5,0.0,100.0
51203,Factor IX,100,5480.4,1.1,5479.3,1.1,0.0,1.0,0.0,100.0
51433,NRBC (Other Body Fluid),100,5480.4,1.0,5479.4,1.0,0.0,0.1,0.0,100.0
51208,Factor X,100,5480.4,0.9,5479.5,0.9,0.0,2.4,0.0,100.0
50969,"Phenytoin, Percent Free",100,5480.4,0.8,5479.6,0.8,0.0,0.0,0.0,100.0
50968,"Phenytoin, Free",100,5480.4,0.8,5479.6,0.8,0.0,0.1,0.0,100.0
51467,Broad Casts,100,5480.4,0.8,5479.6,0.8,0.0,0.0,0.0,100.0
50986,tacroFK,100,5480.4,0.6,5479.8,0.6,0.0,212.7,0.0,100.0
51202,Factor II,100,5480.4,0.4,5480.0,0.4,0.0,2.5,0.0,100.0
51377,Mesothelial Cells (Joint Fluid),100,5480.4,0.4,5480.0,0.4,0.0,0.1,0.0,100.0
50877,Anti-Thyroglobulin Antibodies,100,5480.4,0.4,5480.0,0.4,0.0,5.4,0.0,100.0
51209,Factor XI,100,5480.4,0.3,5480.1,0.3,0.0,1.2,0.0,100.0
52177,SCT - Confirmation,100,5480.4,0.3,5480.1,0.3,0.0,0.5,0.0,100.0
50931,Glucose (Chemistry),100,5480.4,0.3,5480.1,0.3,0.0,4714.8,0.0,100.0
51207,Factor VIII Inhibitor,100,5480.4,0.3,5480.1,0.3,0.0,0.4,0.0,100.0
51494,RBC Casts,100,5480.4,0.3,5480.1,0.3,0.0,0.1,0.0,100.0
52178,SCT - Normalized Ratio,100,5480.4,0.3,5480.1,0.3,0.0,0.5,0.0,100.0
50914,Cyclosporin,100,5480.4,0.2,5480.2,0.2,0.0,38.9,0.0,100.0
51507,"Urine Casts, Other",100,5480.4,0.2,5480.2,0.2,0.0,1.1,0.0,100.0
50978,Rapamycin,100,5480.4,0.1,5480.3,0.1,0.0,11.7,0.0,100.0
51218,Granulocyte Count,100,5480.4,0.1,5480.3,0.1,0.0,0.0,0.0,100.0
51138,Anticardiolipin Antibody IgG,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
50989,"Testosterone, Free",100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51139,Anticardiolipin Antibody IgM,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
50915,D-Dimer (Chemistry),100,5480.4,0.0,5480.4,0.0,0.0,41.4,0.0,
50910,Creatine Kinase (CK),100,5480.4,0.0,5480.4,0.0,0.0,798.8,0.0,
50945,Homocysteine,100,5480.4,0.0,5480.4,0.0,0.0,2.7,0.0,
50990,Theophylline,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51288,Sedimentation Rate,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51270,"Protein C, Antigen",100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51272,"Protein S, Antigen",100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51241,Leukocyte Alkaline Phosphatase,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51149,Bleeding Time,100,5480.4,0.0,5480.4,0.0,0.0,0.1,0.0,
51199,Eosinophil Count,100,5480.4,0.0,5480.4,0.0,0.0,0.0,0.0,
51196,D-Dimer (Hematology),100,5480.4,0.0,5480.4,0.0,0.0,69.9,0.0,
51621,Ethylene Glycol,100,5480.4,0.0,5480.4,0.0,0.0,2.0,0.0,
