itemid,cohort,label,n_admissions,n_value,n_no_value,n_value_and_range,n_value_no_range,n_range_no_value
50931,cohort_C80-D61_aplasia,Glucose (Chemistry),4539,0,4539,0,0,4089
50935,cohort_C80-D61_aplasia,Haptoglobin,4539,307,4232,307,0,20
50945,cohort_C80-D61_aplasia,Homocysteine,4539,0,4539,0,0,0
50949,cohort_C80-D61_aplasia,Immunoglobulin A,4539,189,4350,189,0,12
50950,cohort_C80-D61_aplasia,Immunoglobulin G,4539,209,4330,209,0,0
50951,cohort_C80-D61_aplasia,Immunoglobulin M,4539,168,4371,168,0,26
50952,cohort_C80-D61_aplasia,Iron,4539,383,4156,383,0,1
50953,cohort_C80-D61_aplasia,"Iron Binding Capacity, Total",4539,359,4180,359,0,0
50954,cohort_C80-D61_aplasia,Lactate Dehydrogenase (LD),4539,3250,1289,3250,0,23
50956,cohort_C80-D61_aplasia,Lipase,4539,245,4294,245,0,0
50957,cohort_C80-D61_aplasia,Lithium,4539,1,4538,1,0,0
50960,cohort_C80-D61_aplasia,Magnesium,4539,4087,452,4087,0,0
50964,cohort_C80-D61_aplasia,"Osmolality, Measured",4539,169,4370,169,0,5
50965,cohort_C80-D61_aplasia,Parathyroid Hormone,4539,76,4463,76,0,0
50966,cohort_C80-D61_aplasia,Phenobarbital,4539,2,4537,2,0,0
50967,cohort_C80-D61_aplasia,Phenytoin,4539,11,4528,11,0,1
50968,cohort_C80-D61_aplasia,"Phenytoin, Free",4539,0,4539,0,0,0
50969,cohort_C80-D61_aplasia,"Phenytoin, Percent Free",4539,0,4539,0,0,0
50970,cohort_C80-D61_aplasia,Phosphate,4539,4080,459,4080,0,0
50971,cohort_C80-D61_aplasia,Potassium,4539,3444,1095,3444,0,676
50976,cohort_C80-D61_aplasia,"Protein, Total",4539,404,4135,404,0,0
50978,cohort_C80-D61_aplasia,Rapamycin,4539,0,4539,0,0,2
50981,cohort_C80-D61_aplasia,Salicylate,4539,0,4539,0,0,22
50982,cohort_C80-D61_aplasia,Sex Hormone Binding Globulin,4539,4,4535,4,0,0
50983,cohort_C80-D61_aplasia,Sodium,4539,3134,1405,3134,0,969
50986,cohort_C80-D61_aplasia,tacroFK,4539,0,4539,0,0,43
50988,cohort_C80-D61_aplasia,Testosterone,4539,5,4534,5,0,2
50989,cohort_C80-D61_aplasia,"Testosterone, Free",4539,0,4539,0,0,0
50990,cohort_C80-D61_aplasia,Theophylline,4539,0,4539,0,0,0
50992,cohort_C80-D61_aplasia,Thyroid Peroxidase Antibodies,4539,1,4538,1,0,4
50993,cohort_C80-D61_aplasia,Thyroid Stimulating Hormone,4539,363,4176,363,0,0
50994,cohort_C80-D61_aplasia,Thyroxine (T4),4539,37,4502,37,0,4
50995,cohort_C80-D61_aplasia,"Thyroxine (T4), Free",4539,92,4447,92,0,0
50997,cohort_C80-D61_aplasia,Tobramycin,4539,2,4537,2,0,0
50998,cohort_C80-D61_aplasia,Transferrin,4539,364,4175,364,0,0
51000,cohort_C80-D61_aplasia,Triglycerides,4539,207,4332,207,0,14
51001,cohort_C80-D61_aplasia,Triiodothyronine (T3),4539,30,4509,30,0,0
51005,cohort_C80-D61_aplasia,Uptake Ratio,4539,4,4535,4,0,0
51006,cohort_C80-D61_aplasia,Urea Nitrogen,4539,4103,436,4103,0,0
51007,cohort_C80-D61_aplasia,Uric Acid,4539,1846,2693,1846,0,0
51008,cohort_C80-D61_aplasia,Valproic Acid,4539,14,4525,14,0,0
51009,cohort_C80-D61_aplasia,Vancomycin,4539,214,4325,214,0,4
51010,cohort_C80-D61_aplasia,Vitamin B12,4539,213,4326,213,0,48
51070,cohort_C80-D61_aplasia,"Albumin/Creatinine, Urine",4539,28,4511,28,0,1
51080,cohort_C80-D61_aplasia,Creatinine Clearance,4539,16,4523,16,0,9
51099,cohort_C80-D61_aplasia,Protein/Creatinine Ratio,4539,152,4387,152,0,3
51110,cohort_C80-D61_aplasia,Atypical Lymphocytes (Ascites),4539,2,4537,2,0,0
51111,cohort_C80-D61_aplasia,Bands (Ascites),4539,1,4538,1,0,0
51114,cohort_C80-D61_aplasia,Eosinophils (Ascites),4539,11,4528,11,0,0
51116,cohort_C80-D61_aplasia,Lymphocytes (Ascites),4539,70,4469,70,0,1
51117,cohort_C80-D61_aplasia,Macrophage (Ascites),4539,57,4482,57,0,6
51118,cohort_C80-D61_aplasia,Mesothelial Cell,4539,33,4506,33,0,4
51120,cohort_C80-D61_aplasia,Monocytes (Ascites),4539,69,4470,69,0,2
51124,cohort_C80-D61_aplasia,Plasma (Ascites),4539,7,4532,7,0,2
51125,cohort_C80-D61_aplasia,Polys (Ascites),4539,67,4472,67,0,4
51127,cohort_C80-D61_aplasia,"RBC, Ascites",4539,67,4472,67,0,3
51130,cohort_C80-D61_aplasia,Absolute CD3 Count,4539,67,4472,67,0,0
51131,cohort_C80-D61_aplasia,Absolute CD4 Count,4539,67,4472,67,0,0
51132,cohort_C80-D61_aplasia,Absolute CD8 Count,4539,67,4472,67,0,0
51133,cohort_C80-D61_aplasia,Absolute Lymphocyte Count,4539,3752,787,3752,0,2
51138,cohort_C80-D61_aplasia,Anticardiolipin Antibody IgG,4539,0,4539,0,0,0
51139,cohort_C80-D61_aplasia,Anticardiolipin Antibody IgM,4539,0,4539,0,0,0
51140,cohort_C80-D61_aplasia,Antithrombin,4539,9,4530,9,0,6
51143,cohort_C80-D61_aplasia,Atypical Lymphocytes (Blood),4539,971,3568,971,0,7
51144,cohort_C80-D61_aplasia,Bands (Blood),4539,1210,3329,1210,0,1
51146,cohort_C80-D61_aplasia,Basophils (Blood),4539,3752,787,3752,0,2
51148,cohort_C80-D61_aplasia,Blasts,4539,70,4469,70,0,20
51149,cohort_C80-D61_aplasia,Bleeding Time,4539,0,4539,0,0,0
51181,cohort_C80-D61_aplasia,CD4/CD8 Ratio,4539,65,4474,65,0,2
51196,cohort_C80-D61_aplasia,D-Dimer (Hematology),4539,0,4539,0,0,40
51199,cohort_C80-D61_aplasia,Eosinophil Count,4539,0,4539,0,0,0
51200,cohort_C80-D61_aplasia,Eosinophils (Blood),4539,3752,787,3752,0,2
51202,cohort_C80-D61_aplasia,Factor II,4539,1,4538,1,0,5
51203,cohort_C80-D61_aplasia,Factor IX,4539,1,4538,1,0,1
51204,cohort_C80-D61_aplasia,Factor V,4539,5,4534,5,0,1
51205,cohort_C80-D61_aplasia,Factor VII,4539,1,4538,1,0,6
51206,cohort_C80-D61_aplasia,Factor VIII,4539,13,4526,13,0,0
51207,cohort_C80-D61_aplasia,Factor VIII Inhibitor,4539,0,4539,0,0,0
51208,cohort_C80-D61_aplasia,Factor X,4539,2,4537,2,0,5
51209,cohort_C80-D61_aplasia,Factor XI,4539,1,4538,1,0,1
51214,cohort_C80-D61_aplasia,"Fibrinogen, Functional",4539,710,3829,710,0,2
51218,cohort_C80-D61_aplasia,Granulocyte Count,4539,0,4539,0,0,0
51221,cohort_C80-D61_aplasia,Hematocrit,4539,4101,438,4101,0,0
51222,cohort_C80-D61_aplasia,Hemoglobin (Hematology),4539,4101,438,4101,0,0
51223,cohort_C80-D61_aplasia,Hemoglobin A2,4539,7,4532,7,0,0
51224,cohort_C80-D61_aplasia,Hemoglobin C,4539,7,4532,7,0,0
51225,cohort_C80-D61_aplasia,Hemoglobin F,4539,7,4532,7,0,0
51227,cohort_C80-D61_aplasia,Hemogloblin S,4539,7,4532,7,0,0
51228,cohort_C80-D61_aplasia,Heparin,4539,15,4524,15,0,7
51229,cohort_C80-D61_aplasia,"Heparin, LMW",4539,12,4527,8,4,1
51232,cohort_C80-D61_aplasia,Hypersegmented Neutrophils,4539,9,4530,9,0,0
51237,cohort_C80-D61_aplasia,INR(PT),4539,2842,1697,2842,0,3
51241,cohort_C80-D61_aplasia,Leukocyte Alkaline Phosphatase,4539,0,4539,0,0,0
51244,cohort_C80-D61_aplasia,Lymphocytes (Blood),4539,3740,799,3740,0,14
51245,cohort_C80-D61_aplasia,"Lymphocytes, Percent",4539,67,4472,67,0,0
51248,cohort_C80-D61_aplasia,MCH,4539,4101,438,4101,0,0
51249,cohort_C80-D61_aplasia,MCHC,4539,4101,438,4101,0,0
51250,cohort_C80-D61_aplasia,MCV,4539,4100,439,4100,0,1
51251,cohort_C80-D61_aplasia,Metamyelocytes,4539,1110,3429,1110,0,1
51254,cohort_C80-D61_aplasia,Monocytes (Blood),4539,3752,787,3752,0,2
51255,cohort_C80-D61_aplasia,Myelocytes,4539,1058,3481,1058,0,3
51256,cohort_C80-D61_aplasia,Neutrophils,4539,3733,806,3733,0,21
51257,cohort_C80-D61_aplasia,Nucleated Red Cells,4539,917,3622,917,0,10
51259,cohort_C80-D61_aplasia,Other Cells,4539,8,4531,8,0,113
51263,cohort_C80-D61_aplasia,Plasma Cells (Blood),4539,23,4516,23,0,4
51265,cohort_C80-D61_aplasia,Platelet Count,4539,4087,452,4087,0,14
51269,cohort_C80-D61_aplasia,Promyelocytes,4539,126,4413,126,0,3
51270,cohort_C80-D61_aplasia,"Protein C, Antigen",4539,0,4539,0,0,0
51271,cohort_C80-D61_aplasia,"Protein C, Functional",4539,0,4539,0,0,0
51272,cohort_C80-D61_aplasia,"Protein S, Antigen",4539,0,4539,0,0,0
51273,cohort_C80-D61_aplasia,"Protein S, Functional",4539,0,4539,0,0,0
51274,cohort_C80-D61_aplasia,PT,4539,2840,1699,2840,0,5
51275,cohort_C80-D61_aplasia,PTT,4539,2718,1821,2718,0,42
51276,cohort_C80-D61_aplasia,Quantitative G6PD,4539,25,4514,25,0,5
51277,cohort_C80-D61_aplasia,RDW,4539,4097,442,4097,0,4
51279,cohort_C80-D61_aplasia,Red Blood Cells,4539,4101,438,4101,0,0
51282,cohort_C80-D61_aplasia,"Reticulocyte Count, Absolute",4539,486,4053,486,0,4
51283,cohort_C80-D61_aplasia,"Reticulocyte Count, Automated",4539,486,4053,486,0,4
51284,cohort_C80-D61_aplasia,"Reticulocyte Count, Manual",4539,9,4530,9,0,1
51288,cohort_C80-D61_aplasia,Sedimentation Rate,4539,0,4539,0,0,0
51289,cohort_C80-D61_aplasia,Serum Viscosity,4539,21,4518,21,0,0
51297,cohort_C80-D61_aplasia,Thrombin,4539,8,4531,8,0,1
51298,cohort_C80-D61_aplasia,Von Willebrand Factor Activity,4539,6,4533,6,0,1
51299,cohort_C80-D61_aplasia,Von Willebrand Factor Antigen,4539,3,4536,3,0,3
51300,cohort_C80-D61_aplasia,WBC Count,4539,67,4472,67,0,0
51301,cohort_C80-D61_aplasia,White Blood Cells,4539,4101,438,4101,0,1
51366,cohort_C80-D61_aplasia,Bands (Joint Fluid),4539,1,4538,1,0,0
51368,cohort_C80-D61_aplasia,Eosinophils (Joint Fluid),4539,1,4538,1,0,0
51375,cohort_C80-D61_aplasia,Lymphocytes (Joint Fluid),4539,9,4530,9,0,0
51376,cohort_C80-D61_aplasia,Macrophage (Joint Fluid),4539,4,4535,4,0,1
51377,cohort_C80-D61_aplasia,Mesothelial Cells (Joint Fluid),4539,0,4539,0,0,0
51379,cohort_C80-D61_aplasia,Monocytes (Joint Fluid),4539,9,4530,9,0,0
51382,cohort_C80-D61_aplasia,Polys (Joint Fluid),4539,9,4530,9,0,0
51383,cohort_C80-D61_aplasia,"RBC, Joint Fluid",4539,8,4531,8,0,1
51386,cohort_C80-D61_aplasia,Bands (Other Body Fluid),4539,0,4539,0,0,0
51419,cohort_C80-D61_aplasia,Eosinophils (Other Body Fluid),4539,7,4532,7,0,0
51427,cohort_C80-D61_aplasia,Lymphocytes (Other Body Fluid),4539,19,4520,19,0,4
51428,cohort_C80-D61_aplasia,Macrophage (Other Body Fluid),4539,11,4528,11,0,8
51429,cohort_C80-D61_aplasia,Mesothelial cells,4539,2,4537,2,0,2
51431,cohort_C80-D61_aplasia,Monos (Other Body Fluid),4539,23,4516,23,0,0
51433,cohort_C80-D61_aplasia,NRBC (Other Body Fluid),4539,1,4538,1,0,0
51435,cohort_C80-D61_aplasia,Plasma (Other Body Fluid),4539,1,4538,1,0,1
51436,cohort_C80-D61_aplasia,Polys (Other Body Fluid),4539,20,4519,20,0,3
51438,cohort_C80-D61_aplasia,"RBC, Other Fluid",4539,3,4536,3,0,2
51440,cohort_C80-D61_aplasia,Atypical Lymphocytes (Pleural),4539,6,4533,6,0,1
51441,cohort_C80-D61_aplasia,Bands (Pleural),4539,1,4538,1,0,0
51442,cohort_C80-D61_aplasia,Basophils (Pleural),4539,16,4523,16,0,0
51444,cohort_C80-D61_aplasia,Eosinophils (Pleural),4539,29,4510,29,0,1
51446,cohort_C80-D61_aplasia,Lymphocytes (Pleural),4539,87,4452,87,0,4
51447,cohort_C80-D61_aplasia,Macrophages,4539,68,4471,68,0,8
51448,cohort_C80-D61_aplasia,Mesothelial Cells (Pleural),4539,50,4489,50,0,5
51450,cohort_C80-D61_aplasia,Monos (Pleural),4539,89,4450,89,0,2
51452,cohort_C80-D61_aplasia,NRBC (Pleural),4539,2,4537,2,0,0
51454,cohort_C80-D61_aplasia,Plasma Cells (Pleural),4539,8,4531,8,0,2
51455,cohort_C80-D61_aplasia,Polys (Pleural),4539,88,4451,88,0,3
51457,cohort_C80-D61_aplasia,"RBC, Pleural",4539,86,4453,86,0,1
51467,cohort_C80-D61_aplasia,Broad Casts,4539,0,4539,0,0,0
51471,cohort_C80-D61_aplasia,Cellular Cast,4539,4,4535,4,0,1
51479,cohort_C80-D61_aplasia,Granular Casts,4539,49,4490,49,0,0
51482,cohort_C80-D61_aplasia,Hyaline Casts,4539,294,4245,294,0,0
51484,cohort_C80-D61_aplasia,Ketone,4539,451,4088,364,87,771
51492,cohort_C80-D61_aplasia,Protein,4539,660,3879,542,118,593
51493,cohort_C80-D61_aplasia,RBC,4539,937,3602,937,0,101
51494,cohort_C80-D61_aplasia,RBC Casts,4539,0,4539,0,0,2
51498,cohort_C80-D61_aplasia,Specific Gravity,4539,1449,3090,1449,0,21
51507,cohort_C80-D61_aplasia,"Urine Casts, Other",4539,0,4539,0,0,1
51515,cohort_C80-D61_aplasia,Waxy Casts,4539,1,4538,1,0,0
51516,cohort_C80-D61_aplasia,WBC,4539,920,3619,920,0,118
51517,cohort_C80-D61_aplasia,WBC Casts,4539,2,4537,2,0,0
51567,cohort_C80-D61_aplasia,Beta Hydroxybutyrate,4539,6,4533,6,0,6
51621,cohort_C80-D61_aplasia,Ethylene Glycol,4539,0,4539,0,0,0
51625,cohort_C80-D61_aplasia,Free Kappa,4539,108,4431,108,0,22
51626,cohort_C80-D61_aplasia,Free Kappa/Free Lambda Ratio,4539,108,4431,108,0,21
51627,cohort_C80-D61_aplasia,Free Lambda,4539,114,4425,114,0,16
51802,cohort_C80-D61_aplasia,"Total Protein, CSF",4539,237,4302,237,0,2
52024,cohort_C80-D61_aplasia,"Creatinine, Whole Blood",4539,23,4516,23,0,1
52065,cohort_C80-D61_aplasia,"Total Nucleated Cells, Ascites",4539,68,4471,68,0,3
52069,cohort_C80-D61_aplasia,Absolute Basophil Count,4539,3752,787,3752,0,2
52073,cohort_C80-D61_aplasia,Absolute Eosinophil Count,4539,3752,787,3752,0,2
52074,cohort_C80-D61_aplasia,Absolute Monocyte Count,4539,3752,787,3752,0,2
52075,cohort_C80-D61_aplasia,Absolute Neutrophil Count,4539,3753,786,3753,0,2
52107,cohort_C80-D61_aplasia,dRVVT - Confirmation,4539,3,4536,3,0,2
52108,cohort_C80-D61_aplasia,dRVVT - Normalized Ratio,4539,3,4536,3,0,2
52109,cohort_C80-D61_aplasia,dRVVT - Screen,4539,6,4533,6,0,2
52132,cohort_C80-D61_aplasia,HIT-Ab Numerical Result,4539,1,4538,1,0,13
52135,cohort_C80-D61_aplasia,Immature Granulocytes,4539,553,3986,181,372,2633
52172,cohort_C80-D61_aplasia,RDW-SD,4539,4097,442,4097,0,4
52177,cohort_C80-D61_aplasia,SCT - Confirmation,4539,0,4539,0,0,1
52178,cohort_C80-D61_aplasia,SCT - Normalized Ratio,4539,0,4539,0,0,1
52179,cohort_C80-D61_aplasia,SCT - Screen,4539,5,4534,5,0,1
52285,cohort_C80-D61_aplasia,"RBC, CSF",4539,183,4356,183,0,69
52286,cohort_C80-D61_aplasia,"Total Nucleated Cells, CSF",4539,49,4490,41,8,166
52312,cohort_C80-D61_aplasia,"Total Nucleated Cells, Joint",4539,8,4531,8,0,1
52369,cohort_C80-D61_aplasia,"Total Nucleated Cells, Other",4539,9,4530,9,0,0
52391,cohort_C80-D61_aplasia,"Total Nucleated Cells, Pleural",4539,90,4449,90,0,1
50803,cohort_C80-D70_NF,"Calculated Bicarbonate, Whole Blood",5308,30,5278,30,0,3
50804,cohort_C80-D70_NF,Calculated Total CO2,5308,455,4853,455,0,12
50805,cohort_C80-D70_NF,Carboxyhemoglobin,5308,6,5302,6,0,0
50806,cohort_C80-D70_NF,"Chloride, Whole Blood",5308,68,5240,68,0,1
50808,cohort_C80-D70_NF,Free Calcium,5308,323,4985,323,0,21
50809,cohort_C80-D70_NF,Glucose (Blood Gas),5308,73,5235,73,0,1
50811,cohort_C80-D70_NF,Hemoglobin (Blood Gas),5308,68,5240,68,0,0
50813,cohort_C80-D70_NF,Lactate,5308,564,4744,564,0,70
50814,cohort_C80-D70_NF,Methemoglobin,5308,7,5301,7,0,0
50818,cohort_C80-D70_NF,pCO2,5308,458,4850,458,0,7
50820,cohort_C80-D70_NF,pH,5308,547,4761,547,0,12
50821,cohort_C80-D70_NF,pO2,5308,408,4900,408,0,57
50822,cohort_C80-D70_NF,"Potassium, Whole Blood",5308,257,5051,257,0,39
50824,cohort_C80-D70_NF,"Sodium, Whole Blood",5308,161,5147,161,0,10
50853,cohort_C80-D70_NF,25-OH Vitamin D,5308,178,5130,178,0,102
50856,cohort_C80-D70_NF,Acetaminophen,5308,2,5306,2,0,32
50861,cohort_C80-D70_NF,Alanine Aminotransferase (ALT),5308,4760,548,4760,0,11
50862,cohort_C80-D70_NF,Albumin,5308,3748,1560,3748,0,0
50863,cohort_C80-D70_NF,Alkaline Phosphatase,5308,4745,563,4745,0,0
50866,cohort_C80-D70_NF,Ammonia,5308,31,5277,31,0,6
50867,cohort_C80-D70_NF,Amylase,5308,172,5136,172,0,0
50868,cohort_C80-D70_NF,Anion Gap,5308,3622,1686,3622,0,1243
50877,cohort_C80-D70_NF,Anti-Thyroglobulin Antibodies,5308,0,5308,0,0,8
50878,cohort_C80-D70_NF,Asparate Aminotransferase (AST),5308,4763,545,4763,0,8
50881,cohort_C80-D70_NF,Beta-2 Microglobulin,5308,115,5193,115,0,0
50882,cohort_C80-D70_NF,Bicarbonate,5308,4865,443,4865,0,0
50883,cohort_C80-D70_NF,"Bilirubin, Direct",5308,304,5004,304,0,198
50885,cohort_C80-D70_NF,"Bilirubin, Total",5308,4681,627,4681,0,75
50889,cohort_C80-D70_NF,C-Reactive Protein,5308,268,5040,268,0,51
50890,cohort_C80-D70_NF,C3,5308,28,5280,28,0,0
50891,cohort_C80-D70_NF,C4,5308,30,5278,30,0,0
50893,cohort_C80-D70_NF,"Calcium, Total",5308,4837,471,4837,0,0
50894,cohort_C80-D70_NF,Calculated Free Testosterone,5308,3,5305,3,0,0
50895,cohort_C80-D70_NF,Calculated TBG,5308,5,5303,5,0,0
50896,cohort_C80-D70_NF,Calculated Thyroxine (T4) Index,5308,5,5303,5,0,0
50899,cohort_C80-D70_NF,Carbamazepine,5308,0,5308,0,0,0
50902,cohort_C80-D70_NF,Chloride,5308,4865,443,4865,0,0
50904,cohort_C80-D70_NF,"Cholesterol, HDL",5308,120,5188,98,22,1
50905,cohort_C80-D70_NF,"Cholesterol, LDL, Calculated",5308,12,5296,12,0,90
50906,cohort_C80-D70_NF,"Cholesterol, LDL, Measured",5308,14,5294,14,0,9
50907,cohort_C80-D70_NF,"Cholesterol, Total",5308,158,5150,158,0,1
50908,cohort_C80-D70_NF,CK-MB Index,5308,8,5300,8,0,0
50910,cohort_C80-D70_NF,Creatine Kinase (CK),5308,0,5308,0,0,407
50911,cohort_C80-D70_NF,"Creatine Kinase, MB Isoenzyme",5308,250,5058,250,0,94
50912,cohort_C80-D70_NF,Creatinine,5308,4866,442,4866,0,0
50914,cohort_C80-D70_NF,Cyclosporin,5308,0,5308,0,0,24
50915,cohort_C80-D70_NF,D-Dimer (Chemistry),5308,0,5308,0,0,44
50916,cohort_C80-D70_NF,DHEA-Sulfate,5308,1,5307,1,0,0
50917,cohort_C80-D70_NF,Digoxin,5308,12,5296,12,0,2
50924,cohort_C80-D70_NF,Ferritin,5308,635,4673,635,0,0
50925,cohort_C80-D70_NF,Folate,5308,173,5135,173,0,41
50927,cohort_C80-D70_NF,Gamma Glutamyltransferase,5308,94,5214,94,0,0
50930,cohort_C80-D70_NF,Globulin,5308,503,4805,503,0,0
50931,cohort_C80-D70_NF,Glucose (Chemistry),5308,0,5308,0,0,4852
50935,cohort_C80-D70_NF,Haptoglobin,5308,511,4797,511,0,26
50945,cohort_C80-D70_NF,Homocysteine,5308,0,5308,0,0,1
50949,cohort_C80-D70_NF,Immunoglobulin A,5308,270,5038,270,0,13
50950,cohort_C80-D70_NF,Immunoglobulin G,5308,303,5005,303,0,1
50951,cohort_C80-D70_NF,Immunoglobulin M,5308,249,5059,249,0,26
50952,cohort_C80-D70_NF,Iron,5308,500,4808,500,0,1
50953,cohort_C80-D70_NF,"Iron Binding Capacity, Total",5308,460,4848,460,0,0
50954,cohort_C80-D70_NF,Lactate Dehydrogenase (LD),5308,3989,1319,3989,0,23
50956,cohort_C80-D70_NF,Lipase,5308,357,4951,357,0,1
50957,cohort_C80-D70_NF,Lithium,5308,1,5307,1,0,0
50960,cohort_C80-D70_NF,Magnesium,5308,4850,458,4850,0,0
50964,cohort_C80-D70_NF,"Osmolality, Measured",5308,246,5062,246,0,5
50965,cohort_C80-D70_NF,Parathyroid Hormone,5308,110,5198,110,0,0
50966,cohort_C80-D70_NF,Phenobarbital,5308,4,5304,4,0,0
50967,cohort_C80-D70_NF,Phenytoin,5308,13,5295,13,0,1
50968,cohort_C80-D70_NF,"Phenytoin, Free",5308,0,5308,0,0,0
50969,cohort_C80-D70_NF,"Phenytoin, Percent Free",5308,0,5308,0,0,0
50970,cohort_C80-D70_NF,Phosphate,5308,4843,465,4843,0,0
50971,cohort_C80-D70_NF,Potassium,5308,4104,1204,4104,0,779
50976,cohort_C80-D70_NF,"Protein, Total",5308,651,4657,651,0,0
50978,cohort_C80-D70_NF,Rapamycin,5308,0,5308,0,0,4
50981,cohort_C80-D70_NF,Salicylate,5308,0,5308,0,0,28
50982,cohort_C80-D70_NF,Sex Hormone Binding Globulin,5308,5,5303,5,0,0
50983,cohort_C80-D70_NF,Sodium,5308,3739,1569,3739,0,1127
50986,cohort_C80-D70_NF,tacroFK,5308,0,5308,0,0,93
50988,cohort_C80-D70_NF,Testosterone,5308,6,5302,6,0,2
50989,cohort_C80-D70_NF,"Testosterone, Free",5308,0,5308,0,0,0
50990,cohort_C80-D70_NF,Theophylline,5308,0,5308,0,0,0
50992,cohort_C80-D70_NF,Thyroid Peroxidase Antibodies,5308,1,5307,1,0,7
50993,cohort_C80-D70_NF,Thyroid Stimulating Hormone,5308,508,4800,508,0,0
